"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"60657","Chicago","IL","Chicago","Cook",1,560000,572400,549900,549450,549450,535000,545000,535000,539000,549900,549450,549000,547000,549000,554900,549300,549000,537400,533700,549000,525000,562400,516500,499900,487000,499900,549000,549900,549900,549000,529000,521950,529000,529000,575000,581375,599000,629000,599000,599000,619450,602450,599000,609000,650000,662500,604499.5,634950,625000,625000,627500,662450,675000,677000,649900,569000,569000,569000,599900,577000,599900,629950,631950,649000,675000,680000,697000,695000,714950,697250,697250,702500,704500,719900,699700,725000,725000,727500,710000,712500,740000,754950,799000,799900,775000,767500,792500,770000,775000,775000,750000,749000,749000,755000
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250000,3695000,3295000,3622500,3500000,3685000,3612500,3685000,3472500,3622500,3550000,4e+06,4050000,3995000,3960000,3944000,3899500,3900000,4230000,4335000,3995000,4300000,4067500,3930000,3840000,3875000,3900000,4020000,3950000,4050000,4095000,4170000,4305000,4220000,4335000,4185000,4170000,4140000,4140000,4125000
"77494","Cinco Ranch","TX","Houston","Fort Bend",3,199900,209900,204951,199999.5,199670,194900,194700,189500,189500,184990,184990,184990,184591,184900,182905,185000,184990,195000,197500,190990,186814.5,185000,183470,182990,186351.5,189900,189990,192990,191953.5,194645,197990,199500,2e+05,205166,217990,219900,217990,227990,229500,234990,238990,250000,246900,249900,254240,272990,271999,268990,267740,269783,269900,277495,283490,270851.5,280500,282990,301995,296490,310990,304990,313470,299000,299900,299918,299660,288990,292225,306782.5,307745,304195,306046,309990,313130,283990,275950,279543,274900,277000,276990,275995,279945,282809,282490,285000,292990,286245,283990,285000,280000,269999.5,268000,275000,275395,274995
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281990,290000,3e+05,295000,294860,289900,291000,299845,305306.5,305990,312000,339000,335000,320000,319900,325000,314564.5,309000,306514.5,320000,324942
"60614","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059000,950000,949000,957500,925000,949000,949000,957450,965000,998000,975000,950000,919999,891950,937250,949000,850000,854950,799950,799450,850000,875000,885000
"79936","El Paso","TX","El Paso","El Paso",6,123000,119900,122000,122000,123000,124900,125000,127950,127950,129500,129500,128950,125450,124900,119900,119250,119900,127500,124925,120000,120000,121500,121700,121900,123925,121900,122500,124900,119900,124900,125000,122500,115000,115000,119000,119450,119000,122500,120000,124900,123900,123000,124500,124800,124500,125000,122000,124000,122835,122000,124900,126000,123000,126000,125000,123950,124000,120000,119000,119900,119974.5,122500,122225,121925,123500,123000,122700,125000,125000,123000,124950,123000,121300,120000,120000,116000,119900,119900,121225,122900,123000,120000,121950,124999,120000,123000,129000,129450,126500,127475,125000,127450,127975,125495
"77084","Houston","TX","Houston","Harris",7,105000,105000,109000,110000,110000,109900,109900,109900,110000,109900,109950,105000,104500,100950,99900,103500,101000,99999.5,1e+05,99900,98975,96950,95000,96800,95000,95000,96000,97500,98000,98000,99500,99000,99900,1e+05,105000,109000,109000,114000,115000,116950,120000,124500,122900,121450,121900,124700,124974,124975,124900,128600,129900,130000,129900,130000,131300,130000,130000,135000,134000,139900,139900,139900,139900,139900,145000,145000,149150,149500,151990,153500,151495,154900,151990,152000,155450,159900,157000,158450,159900,159900,159900,160000,159900,159900,159910,164945,165000,168749.5,169000,167900,166495,169900,170000,160000
"77449","Houston","TX","Houston","Harris",8,105000,109000,109900,109000,106650,107441,109900,107500,111950,110000,111450,109900,107695,105000,104225,104900,105000,109000,106900,104900,103000,99995,99900,99900,99997.5,102925,105000,101900,101950,105997.5,114000,114500,114900,115000,122890,119900,119990,124945,124945,133220,132900,131995,134070,129900,135000,141260,143120,147250,150350,149600,148250,149900,147945,143425,143975,145990,151995,153450,153250,162247.5,165000,169950,164345,157990,155000,153446,159900,160000,160000,164440,163990,167500,169972.5,169247.5,169000,169990,170295,169945,169900,167000,166200,169000,169900,164900,160000,165000,169900,170000,174900,173950,170450,174900,173950,175000
"32162","The Villages","FL","The Villages","Sumter",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262900,309000,322450,294805.5,297450,279350,264000,249900,244000,252900,251325,249900,249450,249900,244000,245000,245000,247250,247200,252450,249000,239700,244700,246850,244000,249500,242000,249450,248950,239900,234900,239950,239450,239000,254450,249450,259000,274900,274900
"11235","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927360,941850,948570,940800,888000,949000,933000,931000,994500,890000,759000,813000,737000,664000
