"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"97214","OR","Portland","Multnomah","Portland",2528,1499,-0.0105610561056106,-0.0196206671026815,-0.0372511239563263,1727
2017-10-31,"80503","CO","Boulder","Boulder","Longmont",2529,1565,-0.00127632418634333,0.017555266579974,0.0242146596858639,764
2017-10-31,"76132","TX","Dallas-Fort Worth","Tarrant","Fort Worth",2530,1494,0.00673854447439353,0.00606060606060606,0.00201207243460765,548
2017-10-31,"36532","AL","Daphne","Baldwin","Fairhope",2531,1304,-0.00685453160700685,-0.00458015267175573,-0.00987091875474563,728
2017-10-31,"75087","TX","Dallas-Fort Worth","Rockwall","Rockwall",2532,2172,-0.0136239782016349,-0.0233812949640288,-0.0127272727272727,725
2017-10-31,"60060","IL","Chicago","Lake","Mundelein",2533,1541,0.00195058517555267,0.016490765171504,0.0377104377104377,1316
2017-10-31,"21842","MD","Salisbury","Worcester","Ocean City",2534,1342,-0.0448398576512456,-0.08145106091718,-0.0338372930165587,28212
2017-10-31,"54914","WI","Appleton","Outagamie","Appleton",2535,1036,0.0146914789422135,0.0339321357285429,0.109207708779443,756
2017-10-31,"08820","NJ","New York","Middlesex","Edison",2536,2277,0.00485436893203883,0.0142538975501114,0.0183363148479428,191
2017-10-31,"90807","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",2537,2196,0.00411522633744856,0.007801743919229,0.0593342981186686,2630
2017-10-31,"92831","CA","Los Angeles-Long Beach-Anaheim","Orange","Fullerton",2538,2223,0.00497287522603978,0.0159963436928702,0.0431722196152041,2029
2017-10-31,"56401","MN","Brainerd","Crow Wing","Brainerd",2539,1216,0.0116472545757072,0.0227081581160639,0.00662251655629139,165
2017-10-31,"03301","NH","Concord","Merrimack","Concord",2540,1308,0.000765110941086458,-0.010590015128593,0.0131680867544539,3337
2017-10-31,"46544","IN","South Bend","Saint Joseph","Mishawaka",2541,764,0.00658761528326746,0.0159574468085106,-0.0179948586118252,978
2017-10-31,"02720","MA","Providence","Bristol","Fall River",2542,1052,0.0313725490196078,0.072375127420999,-0.118189438390612,3121
2017-10-31,"44128","OH","Cleveland","Cuyahoga","Cleveland",2543,791,-0.00252206809583859,-0.00628140703517588,0.0115089514066496,1139
2017-10-31,"33334","FL","Miami-Fort Lauderdale","Broward","Oakland Park",2544,1284,0.00390930414386239,0.00864100549882168,0.00864100549882168,4106
2017-10-31,"62025","IL","St. Louis","Madison","Edwardsville",2545,947,0.0106723585912487,0.027114967462039,0.0640449438202247,637
2017-10-31,"94561","CA","San Francisco","Contra Costa","Oakley",2546,1927,0.00103896103896104,0.0131440588853838,0.0399352401511063,211
2017-10-31,"34759","FL","Orlando","Osceola","Poinciana",2547,970,-0.00614754098360656,-0.00614754098360656,0.0441334768568353,412
2017-10-31,"94133","CA","San Francisco","San Francisco","San Francisco",2548,5179,-0.0036552520200077,-0.0202421490730231,-0.04287562372944,3410
2017-10-31,"20010","DC","Washington","District of Columbia","Washington",2549,2943,-0.0010183299389002,-0.0037237643872715,0.0162292817679558,6732
2017-10-31,"15146","PA","Pittsburgh","Allegheny","Monroeville",2550,1236,-0.00483091787439614,-0.0072289156626506,-0.0440835266821346,961
2017-10-31,"28031","NC","Charlotte","Mecklenburg","Cornelius",2551,1278,-0.000781860828772478,0.00471698113207547,0.0167064439140811,3805
2017-10-31,"84401","UT","Ogden","Weber","Ogden",2552,777,0.00517464424320828,0.00258064516129032,-0.0238693467336683,501
2017-10-31,"19116","PA","Philadelphia","Philadelphia","Philadelphia",2553,1140,-0.00523560209424084,-0.013840830449827,0.00529100529100529,1380
2017-10-31,"28211","NC","Charlotte","Mecklenburg","Charlotte",2554,1249,0.00240770465489567,-0.00159872102318145,0.0382377389858687,1702
2017-10-31,"95835","CA","Sacramento","Sacramento","Sacramento",2555,1584,0.00571428571428571,0.0332681017612524,0.108467459762071,1845
2017-10-31,"93905","CA","Salinas","Monterey","Salinas",2556,1787,0.00619369369369369,-0.000559284116331096,0.103767757875232,1219
2017-10-31,"61614","IL","Peoria","Peoria","Peoria",2557,843,0.0243013365735115,0.0433168316831683,0.100522193211488,1368
2017-10-31,"20746","MD","Washington","Prince Georges","Suitland-Silver Hill",2558,1704,0.00768775872264932,0.0142857142857143,-0.00117233294255569,2814
2017-10-31,"94043","CA","San Jose","Santa Clara","Mountain View",2559,3572,0.00196353436185133,0.0118980169971671,-0.0124412496544097,4650
2017-10-31,"85138","AZ","Phoenix","Pinal","Maricopa",2560,1136,0.00264783759929391,0.024346257889991,0.0460405156537753,224
2017-10-31,"60543","IL","Chicago","Kendall","Oswego",2561,1505,0.0053440213760855,0.0121049092131809,0.0162052667116813,1491
2017-10-31,"92629","CA","Los Angeles-Long Beach-Anaheim","Orange","Dana Point",2562,2912,-0.00102915951972556,-0.00749829584185412,0.0448510943667025,4755
2017-10-31,"80521","CO","Fort Collins","Larimer","Fort Collins",2563,1289,-0.00463320463320463,-0.00616808018504241,0.00077639751552795,2111
2017-10-31,"02886","RI","Providence","Kent","Warwick",2564,1432,-0.00831024930747922,-0.0171585449553878,0.00774102744546094,1909
2017-10-31,"40502","KY","Lexington","Fayette","Lexington",2565,1164,-0.00427715996578272,-0.0110450297366185,0.0210526315789474,1815
2017-10-31,"60101","IL","Chicago","Du Page","Addison",2566,1259,0.000794912559618442,-0.00631412786108919,0.0153225806451613,1645
2017-10-31,"33460","FL","Miami-Fort Lauderdale","Palm Beach","Lake Worth",2567,1402,0.00214438884917798,0.00501792114695341,-0.0236768802228412,4077
2017-10-31,"01701","MA","Boston","Middlesex","Framingham",2568,1659,0.00241691842900302,0.0152998776009792,0.0330012453300125,1199
