"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554000,599000,615000,572500,584500,625000,625000,649500,699000,767500,702000,750000,735000,727497.5,725000,735000,735000,750000,750000,749500,737500,635000,699497.5,699000,699000,657500,7e+05,725000,692000,697000,685000,699500,699000,757500,712000,699000,789500,750000,699000,722000,699000,745000
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362500,1482500,1412500,1400000,1450000,1460000,1460000,1580000,1527500,1450000,1395000,1474500,1535000,1577500,1565000,1500000
"10016","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,849000,887000,965000,899000,899000,937500,899000,899000,897000,899000,925000,992500
"11375","New York","NY","New York","Queens",4,235000,229000,229000,229000,229000,229000,222888,223444,219000,215000,219000,218000,219000,215000,219000,215000,218444,215000,215000,215000,218000,215000,209000,205000,209000,209000,209000,210000,210000,215000,215000,219000,209500,209000,209000,209000,209000,209000,209000,209000,209000,215000,220000,219000,219000,218000,219000,215000,214000,219777,219777,219888.5,229000,229000,226500,229000,234888,239000,239000,245000,250000,264000,275000,268000,252000,259000,252000,250000,262000,259000,276500,269000,278000,279250,266500,269000,269000,275000,279000,285000,279900,279000,280000,298000,298880,292444,298884,299000,299000,308000,299000,294944,289000,299000
"11201","New York","NY","New York","Kings",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837500,835000,830000,835000,825000,840000,842500,835000,837500,825000,825000,825000,825000,835000,830000,830000,842500,870000,840000,799000,747500,792500,795000,774000,799000,749000
"20009","Washington","DC","Washington","District of Columbia",6,349000,350000,359000,349900,339000,339000,339000,329250,339950,340000,349450,349000,355000,336000,339900,337250,339450,339000,319450,339000,339000,339000,335000,349000,329000,327000,329950,342000,349277.5,355000,350000,339900,339450,339900,339900,334450,329900,348500,339900,361500,362000,365900,369000,362450,350000,349500,359000,354450,362000,365000,349700,345000,349000,349250,349500,349900,375000,354500,349900,349450,349000,342250,373750,385000,399250,399900,379000,399000,399000,389900,392000,389900,392000,399900,399000,385000,374949.5,382400,399000,389000,374440,374999,382450,380000,362500,384900,392000,399000,387058.5,389000,395000,399900,399220,399900
"10462","New York","NY","New York","Bronx",7,117500,117500,118000,117000,117000,117000,117000,115000,115000,115000,112000,110000,110000,107500,109000,105000,105000,105000,105000,104950,105000,105000,105000,105000,105000,103000,99000,105000,99000,99500,99000,99000,99000,95000,99900,105000,105000,105000,105000,104500,104950,105000,103000,103500,99000,98500,103500,104487.5,104000,103500,1e+05,100500,1e+05,104000,106500,107000,105000,112000,115000,114640,114640,115000,114640,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,115000,117000,118000,117250,118000,118000,119000,119000,119000,123000,123000,123000,121500,120000,120000,119000,120000,126000,127000,125000,129450
"10003","New York","NY","New York","New York",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172000,1172000,1195000,1172000,1190000,1183500,1100000,1145000,1122500,1145000,1100000,1195000,1195000,1199000,1295000,1367500,1250000,1325000,1260000,1245000,1188000,1350000,1417500
"10463","New York","NY","New York","Bronx",9,199000,199000,199000,199000,216500,199000,199000,207000,225000,225000,225000,205000,210000,199000,199950,199000,199000,199000,189000,192450,189000,189950,190000,190000,185000,184900,189000,180950,179000,179000,180000,179000,179900,185000,189000,189000,189000,185000,189000,185000,184500,179000,179000,179000,182000,179500,177900,175000,177900,174900,174900,178450,179000,175000,185000,181995,189000,186000,179000,179450,183000,175000,174900,170000,175000,174900,174900,179000,179000,179000,179000,179000,179000,175000,175000,175000,177500,179000,179000,180000,185000,189000,186250,189000,189000,187000,184900,180000,184999,189000,190000,190000,194000,199000
"11209","New York","NY","New York","Kings",10,258500,258000,239900,239900,239000,239900,239000,239000,239000,233500,229000,229000,229000,225000,229000,229000,229000,229000,229000,222500,220000,219450,219000,219000,225000,225000,227000,229000,239500,239000,249000,249000,239000,232000,230000,235000,239000,246500,244000,244000,236000,229000,238000,237750,239000,227500,229000,225000,225000,225000,225000,225000,229000,225000,229000,224950,240000,239000,245000,245000,245000,239000,242000,245000,250000,254950,257500,256000,269000,269000,269000,269000,268500,269000,270950,299000,335000,333000,339000,349999,349000,329500,329500,341900,340949.5,341950,329000,329000,332999.5,332999.5,330999,349999,339000,344499.5
