"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"11219","New York","NY","New York","Kings",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2200,2078,2078,2000,2000,1999,1899,1900,1950,1999
"11213","New York","NY","New York","Kings",89,,,,,,,,,,,,,,,,,1600,1600,1600,1700,1700,1442.5,1400,1650,1675,1650,1650,1695,1699.5,1675,1712.5,1700,1799,1750,1800,1800,1950,2000,1900,1975,1800,1800,1800,1999,2000,1999,2000,2000,1999,2197,2000,1950,1900,1965,2100,2400,2300,2250,2300,2300,2300,2200,2200,2200,2100,2100,2100,2200,2290,2200,2250,2200,2250,2200,2100,2092.5,2000,2030,2080,2099,2175,2200,2200,2200,2199.5
"11368","New York","NY","New York","Queens",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706,1800,1850,1825,1715,1900,1825,1775,1875,1900,2200,2065,2030,2000,1935,1770,1810,1847.5,1842.5,1995,1975,1846,1846,1848
"92104","San Diego","CA","San Diego","San Diego",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1397.5,1495,1475,1350,1450,1450,1600,1550,1595,1595,1599.5,1595,1600,1595,1587.5
"11203","New York","NY","New York","Kings",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2500,2200,2295,2000,1800,1775,1800,1795,1700,1695,1650,1875,1900,1600,1500,1500,1500,1650,1625,1650,1650,1700,1800,1750,1700,1750,1795,1750,1797,1800,1800,1895,1850,1800,1800,1800,1800,1800,1700,1899,1800,1900,1699.5,1850,2000,1900,1999,1999,2000,2000,2200,2000,1900
"10031","New York","NY","New York","New York",93,,,,,,,,,,,1712.5,1737.5,1785,1799.5,1850,1850,1795,1825,1750,1700,1795,1950,1875,1850,1895,1950,1962.5,1900,1900,1862.5,1950,1995,1995,2000,2000,2100,2150,2100,2050,2100,2050,2000,2100,2150,2195,2250,2250,2072.5,2195,2250,2259,2250,2300,2295,2250,2250,2300,2350,2382.5,2400,2295,2325,2400,2400,2400,2500,2405,2300,2200,2250,2334.5,2387.5,2300,2400,2300,2400,2400,2350,2400,2400,2480,2439.5,2400,2500,2400
"11220","New York","NY","New York","Kings",94,,,,,,,,,,,,,,,,,,,,,,,,1600,1525,1425,1550,1625,1655,1500,1600,1650,1680,1660,1680,1700,1700,1750,1700,1660,1650,1655,1675,1700,1750,1800,1800,1800,1750,1799,1750,1700,1700,1750,2000,2000,1900,1950,1925,1900,1850,1862.5,1900,1900,1900,1995,1950,1900,2000,2000,1900,2000,1995,2100,1850,2000,2000,2000,1999.5,2000,2100,2100,2050,2000,1972.5
"60637","Chicago","IL","Chicago","Cook",95,,,,,,,,,,,992,1001,1000,1050,1050,1055,1095,1100,1075,1100,1100,1100,1100,950,900,850,920,1074.5,1000,1000,1002.5,1085,1000,1053.5,1100,1050,1000,1050,1050,1000,1000,1000,1062,1100,1096,1050,1032,1100,1112.5,1100,1100,1100,1100,1150,1150,1150,1100,1100,1100,1200,1150,1150,1150,1150,1150,1172.5,1200,1150,1150,1150,1100,1050,1095,1100,1100,1075,1100,1100,1100,1087.5,1044,1150,1150,1150,1150
"11216","New York","NY","New York","Kings",96,,,,,,,,,,,,,,,,,,,,,,,,2345,1970,1900,1800,1800,1875,1900,1995,2000,2150,2200,2250,2200,2200,2150,2199,2150,2200,2200,2200,2250,2300,2300,2350,2350,2300,2300,2350,2200,2350,2400,2499,2495,2495,2495,2500,2495,2495,2450,2400,2450,2400,2400,2410,2400,2500,2495,2460,2503.5,2400,2500,2250,2395,2400,2400,2400,2400,2400,2450,2500,2450,2375
"33015","Country Club","FL","Miami-Fort Lauderdale","Miami-Dade",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1412.5,1475,1437.5,1475,1495,1490,1450,1400,1450,1462.5,1500,1462.5,1450,1450
