"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"77494","Cinco Ranch","TX","Houston","Fort Bend",1,,,,,,,,,,,0.802277533665648,0.795190069821567,0.799835931091058,0.81453634085213,0.81453634085213,0.870891749023213,0.863060989643268,0.849248491393835,0.838014981273408,0.795640734151352,0.799824196236804,0.801068090787717,0.830234333133049,0.837983760324343,0.829056454796684,0.888236917050629,0.897097625329815,0.874906924795235,0.85808078375915,0.859306728808622,0.865998176845943,0.88200182490028,0.882240122746452,0.882809069416121,0.887311446317657,0.887796481614585,0.88137163370027,0.878243512974052,0.882240122746452,0.894854586129754,0.901399274730078,0.919842312746386,0.902602854743913,0.89748076036933,0.890150318517958,0.865185950413223,0.857441140424846,0.878647214854111,0.878284422475442,0.872405470524231,0.892857142857143,0.90123920390537,0.884608630168383,0.892040256175663,0.886889867697127,0.869630973986691,0.865261423717933,0.85508752053606,0.875711567428183,0.871785295117156,0.857142857142857,0.853617527826082,0.856036029159192,0.850906400295967,0.840657241115781,0.851098720892096,0.846598820832243,0.828281620588232,0.815128790348875,0.783156237701692,0.794701986754967,0.784873349982162,0.784933459715551,0.802103662506524,0.791033134223137,0.788804071246819,0.82089552238806,0.83990904013831,0.820419325432999,0.812411083421653,0.819760028697678,0.825423029302518
"75070","McKinney","TX","Dallas-Fort Worth","Collin",2,,,0.655703875258747,0.670967227025068,0.699499364272092,0.69537909376402,0.692455263964503,0.664043285784555,0.653357531760436,0.638051044083527,0.638109047352421,0.635871909143186,0.662713637949076,0.694383979103178,0.698893655820315,0.702711671806945,0.701674966047986,0.715380684721513,0.697410244055016,0.732217573221757,0.690427698574338,0.704361219195849,0.713231677324151,0.729857574659917,0.754861821903787,0.762919021595279,0.726211858631157,0.745315161839864,0.772522379997785,0.732118617032219,0.731922461573624,0.725094577553594,0.740929994890138,0.735603194619588,0.706749459118492,0.705996131528046,0.739131669012587,0.73536645351697,0.740917782026769,0.741911491260692,0.748312078019505,0.75331426323389,0.76844262295082,0.754716981132076,0.758483033932136,0.729708726686622,0.741553312856516,0.758292275126232,0.784563189143342,0.783410138248848,0.760103417396077,0.775043177892919,0.80625885040363,0.783410138248848,0.784554845056567,0.784554845056567,0.807181955164673,0.798431972447343,0.790578358208955,0.770756077066295,0.78587962962963,0.786114075080027,0.785245901639344,0.776374442793462,0.777470628887353,0.815093106827834,0.82221487678703,0.823572474377745,0.834919940681615,0.807291628296913,0.829268292682927,0.806374881065652,0.806572306516582,0.806134486826583,0.807491072052072,0.82135523613963,0.844736405725389,0.839160839160839,0.83102172463322,0.812541274540827,0.810229445506692,0.805305542396968
"77084","Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645638722529467,0.644237652111668,0.676942388909028,0.680156073674212,0.635593220338983,0.667451904201021,0.668403371455349,0.667451904201021,0.665542410196832,0.666447766643539,0.662251655629139,0.668248130332502,0.677080792476353,0.681431005110733,0.673885052746601,0.678296184936574,0.696022727272727,0.683890577507599,0.678866587957497,0.650573420625452,0.675427512921288,0.696406633906634,0.726282342260554,0.718512256973795,0.717821865538691,0.699370880026368,0.696594427244582,0.686789450259278,0.690250215703192,0.689688967278764,0.667372881355932,0.673036852804118,0.672920065252855,0.690349293563579,0.674867342016401,0.691417957042957,0.679510971736356,0.688775510204082,0.691402447503824,0.690434917883414,0.696443419385493,0.691327784156704,0.653489404952043,0.682419906061019,0.695825049701789,0.671089005710142,0.695923888487258,0.695825049701789,0.69888855661882,0.696022727272727,0.705689850377706,0.695091804632689
"77449","Houston","TX","Houston","Harris",4,,,,,,,,,,,0.59756688277815,0.633971291866029,0.627853881278539,0.617550469954806,0.63190939677962,0.618792378288999,0.610032024505709,0.617750882501261,0.643004115226337,0.61152360578233,0.610902255639098,0.606729509040681,0.617283950617284,0.614764424288234,0.618752974773917,0.618772182751197,0.618791390728477,0.620675620675621,0.641319285387082,0.648500027921849,0.651302605210421,0.635941541803333,0.648252730806585,0.622675795380954,0.618791390728477,0.620664476086163,0.626849112426035,0.636023737237416,0.644850701318233,0.655178868820925,0.690184049079755,0.703828828828829,0.703720142932472,0.708888888888889,0.703957382039574,0.721276595744681,0.717781155015198,0.708366219415943,0.710659898477157,0.751133786848073,0.720260223048327,0.716180371352785,0.703957382039574,0.756654677405983,0.735294117647059,0.741391595539443,0.697159565580618,0.708745092207594,0.731215330307615,0.719581334496293,0.738760620475079,0.747915644923982,0.753539865263743,0.729977116704805,0.736719658782474,0.741308793456033,0.692964435084113,0.706521739130435,0.712083333333333,0.726981507760429,0.719949916527546,0.728298185384993,0.728298185384993,0.728298185384993,0.728298185384993,0.731827479320738,0.728298185384993,0.726600985221675,0.741961744534632,0.723366944322665,0.708221133987863,0.720887245841035
"30349","Riverdale","GA","Atlanta","Clayton",5,,,,,,,0.549948479578273,0.577777777777778,0.593891402714932,0.618294748729531,0.570962732919255,0.577509009834463,0.562836679725759,0.5546875,0.566413032155011,0.56941431670282,0.599582898852972,0.565610859728507,0.547178988326848,0.539645743295246,0.550982004565643,0.545862412761715,0.559933637494815,0.547178988326848,0.531226199543031,0.544554455445545,0.546647746590609,0.56547619047619,0.55366269165247,0.579268292682927,0.567109777015437,0.56564990595125,0.565262076053443,0.555529590855678,0.564543532388472,0.5638249887235,0.558659217877095,0.559006426837864,0.561797752808989,0.561647539506099,0.563486100676183,0.56941431670282,0.593434343434343,0.593434343434343,0.58349609375,0.587544065804935,0.570612072512621,0.579229765549551,0.578235947992934,0.581103725374019,0.573575949367089,0.575519371139809,0.584148139097158,0.583333333333333,0.588752658653608,0.588768115942029,0.587544065804935,0.589225589225589,0.579777365491651,0.598659003831418,0.609110169491525,0.582072176949942,0.593187906620742,0.598184818481848,0.605778191985089,0.588114754098361,0.620638085742772,0.610656331498116,0.604651162790698,0.615182778168657,0.616003763693486,0.594967658591349,0.608859397417504,0.632063882063882,0.609148550724638,0.61013986013986,0.617015822546659,0.622602053427971,0.623084291187739,0.644590495449949,0.644590495449949,0.636132315521629
"77429","Cypress","TX","Houston","Harris",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.682459827658623,0.726086956521739,0.71874431997551,0.702578330567957,0.744868395788455,0.713264211655345,0.720046608151323,0.730665640631012,0.723472668810289,0.714888232813159,0.729612587176455,0.733186603391861,0.725576220205306,0.734753550543024,0.746593703673289,0.752964791601754,0.751016260162602,0.718135738745702,0.71399724583565,0.711483594864479,0.731707317073171,0.725929054054054,0.728559533721898,0.746553008205098,0.738233823028959,0.738233823028959,0.709468533514167,0.724826125036869,0.758113590263692,0.729120636323464,0.711287380608677,0.750334071780895,0.749882318658657,0.697211155378486,0.715368421052632,0.704557101062963,0.721110995240431,0.718151540383014,0.721458554653429,0.723306582339029,0.725294650951949,0.71430375161673,0.714810498158247,0.733106308500114
"77479","Sugar Land","TX","Houston","Fort Bend",7,,,,,,,,,,,,,,,,,,,,,,0.775981524249423,0.77995353468304,0.775558166862515,0.768662923117456,0.774509918769862,0.77248541925962,0.810376129681316,0.836722387166783,0.8220020689848,0.839647522505769,0.852064411677158,0.820475029760218,0.814811256485056,0.826890034364261,0.859348602240479,0.849688846337961,0.850340136054422,0.856094578067672,0.902527075812274,0.91706042385508,0.892659060794065,0.866336633663366,0.873502210843691,0.868569515911129,0.846681922196796,0.832256163128218,0.852305746419171,0.870044052863436,0.872854233343032,0.872817955112219,0.885896527285613,0.892432466071897,0.881541058437992,0.861715223635618,0.887422531689871,0.889477668433005,0.877742946708464,0.878238784426288,0.882352941176471,0.877742946708464,0.859227872713691,0.866690751445087,0.867706548523697,0.878933861946032,0.864839055108042,0.874903982594085,0.83041958041958,0.828970331588133,0.847181582288964,0.827097282394644,0.819300762667069,0.818334070167811,0.806245797944595,0.82890365448505,0.820217287037474,0.835322195704057,0.849009993675942,0.836216839677047,0.821962869492781,0.816702683913408,0.804313044662309
"77433","Cypress","TX","Houston","Harris",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.767010003788111,0.764428033679426,0.747460409930097,0.751466275659824,0.759318913943856,0.784848484848485,0.798296966471527,0.783210198464436,0.777284263959391,0.726697785521315,0.791150823937495,0.805504790845232,0.777767618350973,0.780672805302043,0.771054386051062,0.744109136006614,0.760593987685621,0.744047619047619,0.759734093067426,0.804319083296606,0.769794721407625,0.759734093067426,0.832500832500833,0.781433298898675,0.803212851405622,0.761974416336832,0.760745530620008,0.757062037769234,0.771971496437055,0.768508290314113,0.743037678446057,0.787204416650381,0.793216630196937,0.820419325432999,0.813314860478955,0.788091068301226,0.76320939334638,0.762910798122066,0.782106365487003
"77379","Tomball","TX","Houston","Harris",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697648056146992,0.706845238095238,0.703686703489987,0.681023440968204,0.672371638141809,0.671343976093111,0.665954415954416,0.669163027048113,0.672859793389727,0.675800945032803,0.703171753441053,0.728874879361056,0.727058823529412,0.74832406211388,0.714884263247451,0.755287009063444,0.741852487135506,0.730216083590452,0.725788160580631,0.703062687529432,0.727308294209703,0.737100737100737,0.753257328990228,0.746043117366647,0.739345176912891,0.735229759299781,0.749545046082429,0.723240115718419,0.716646028276983,0.708483047724341,0.729580177059486,0.699081803005008,0.714285714285714,0.728987993138937,0.713498127038025,0.69713400464756,0.697808535178777,0.729842446709917,0.727855909203059,0.712361312061402,0.721251523770825,0.72004299692731,0.716845878136201,0.726449798572233,0.727302849569251,0.713877784123358,0.727408038541239,0.718778077268643,0.723109370292257,0.718290119131044,0.714680615308188,0.761648745519713,0.708833151581243
"30024","Suwanee","GA","Atlanta","Gwinnett",10,,,,,,,,,,,,,,,,,0.601160862354892,0.625841184387618,0.610531524201174,0.591199125848184,0.583221175414984,0.615242399342646,0.609623856319892,0.603267207922684,0.603267207922684,0.609623856319892,0.628729752770673,0.643376841964295,0.606518128742551,0.641903022156763,0.610155439610327,0.58562197092084,0.601626016260163,0.621401151631478,0.615830115830116,0.628220187321155,0.621401151631478,0.620018882544555,0.61864406779661,0.635593220338983,0.666337611056269,0.666337611056269,0.677151594582787,0.665707353830287,0.680930649691747,0.667587476979742,0.655430711610487,0.663959984600419,0.673505435632642,0.679156908665105,0.663227505591042,0.66815158023057,0.697866649818886,0.695088641517213,0.690818169531509,0.678203928905519,0.675154320987654,0.685136897001304,0.674967423861744,0.706880301602262,0.701342281879195,0.703921568627451,0.703921568627451,0.679980105130991,0.698610166354694,0.701288855193328,0.703108113156334,0.722299513067674,0.731182795698925,0.727877606373962,0.674989007532893,0.724080312808648,0.726018992744345,0.717373404693289,0.696619379095833,0.694745983499783,0.723497955331865,0.735294117647059,0.780984719864177,0.76990761108667,0.73895510298542,0.711607073100862
