"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-10-31,78719,"47666","IN",,"Gibson","Patoka",14857,91200,0.0021978021978022,-0.012987012987013,-0.00977198697068404,0.0192672298234187,0.0208433247761874,"2013-12","2013-Q4",97200,-0.0617283950617284,"2013-05"
2017-10-31,82410,"55732","MN","Duluth","Saint Louis","Embarrass",14858,97300,0.00829015544041451,0.0395299145299145,0.135355892648775,0.0330502952000538,0.00805365902128607,"2017-10","2017-Q4",97300,0,"2017-10"
2017-10-31,85534,"62520","IL","Springfield","Sangamon","Dawson",14859,146900,-0.0060893098782138,-0.0284391534391534,-0.0749370277078086,0.0131661519756863,0.00976232926224929,"2016-09","2016-Q3",159200,-0.0772613065326633,"2015-04"
2017-10-31,92561,"78623","TX","San Antonio","Comal","Canyon Lake",14860,271500,0.00630096367679763,0.0245283018867925,0.0555987558320373,0.0562578645555376,0.0349309028951732,"2017-10","2017-Q4",271500,0,"2017-10"
2017-10-31,63069,"13338","NY","Utica","Oneida","Forestport",14861,138300,-0.00860215053763441,0.00728332119446468,0.0406320541760722,0.0383111374373699,0.0132022322104188,"2017-09","2017-Q3",139500,-0.00860215053763441,"2017-08"
2017-10-31,74860,"38545","TN","Cookeville","Jackson","Bloomington Springs",14862,111100,0.0183318056828598,0.0765503875968992,0.227624309392265,0.0897205786290211,0.0188219986613614,"2017-10","2017-Q4",111100,0,"2017-10"
2017-10-31,93644,"81022","CO","Pueblo","Pueblo","Avondale",14863,129600,0.0117096018735363,0.0418006430868167,0.0809007506255213,0.0681637069425378,,"2017-10","2017-Q4",129600,0,"2017-10"
2017-10-31,85619,"62668","IL","Jacksonville","Morgan","Murrayville",14864,91600,-0.0129310344827586,-0.0224119530416222,-0.0224119530416222,0.0452974302955467,0.0171186039048017,"2016-08","2016-Q3",96300,-0.0488058151609553,"2016-03"
2017-10-31,66511,"20620","MD","California-Lexington Park","Saint Marys","Callaway",14865,277500,0,-0.00394831299353912,0.0266370699223085,0.0161007511370348,-0.0139021532407405,"2006-03","2006-Q1",325500,-0.147465437788018,"2005-04"
2017-10-31,85127,"61741","IL","Pontiac","Livingston","Forrest",14866,83800,0.00479616306954436,0.001194743130227,0.0145278450363196,-0.000476644639889612,-0.00362591292247738,"2008-08","2008-Q3",94500,-0.113227513227513,"2007-02"
2017-10-31,67653,"23315","VA","Virginia Beach","Isle of Wight","Carrsville",14867,186300,0.0130505709624796,0.0169213973799127,0.0125,0.037605553267541,-0.0203821133506462,"2008-05","2008-Q2",246400,-0.243912337662338,"2004-09"
2017-10-31,85143,"61759","IL","Peoria","Tazewell","Minier",14868,125300,0.00159872102318145,-0.00870253164556962,-0.000797448165869219,0.00551712868996979,0.010296495706215,"2017-04","2017-Q2",129600,-0.033179012345679,"2016-10"
2017-10-31,87469,"67119","KS","Wichita","Sumner","Oxford",14869,77500,-0.0127388535031847,-0.0139949109414758,-0.0226986128625473,0.0173875537167854,,"2015-11","2015-Q4",82500,-0.0606060606060606,"2015-06"
2017-10-31,60446,"06793","CT","Torrington","Litchfield","Washington",14870,613100,-0.00696469063816003,-0.00114043662430759,0.0165809981760902,0.0151485942873033,-0.0318806215695265,"2007-01","2007-Q1",866300,-0.292277502020085,"2002-10"
2017-10-31,64035,"15340","PA","Pittsburgh","Washington","Mt Pleasant Township",14871,170100,-0.00642523364485981,-0.011046511627907,-0.00700525394045534,0.0139708673922712,,"2017-01","2017-Q1",173400,-0.0190311418685121,"2016-06"
2017-10-31,87537,"67330","KS","Parsons","Labette","Altamont",14872,65100,-0.00610687022900763,-0.0151285930408472,-0.0856741573033708,-0.00304419653716503,-0.0206438338797853,"2008-08","2008-Q3",86000,-0.243023255813953,
2017-10-31,82507,"55945","MN","Rochester","Wabasha","Kellogg",14873,197100,-0.0020253164556962,-0.0115346038114343,0.0390089615181866,0.0247738360999912,0.00399295402414079,"2016-02","2016-Q1",201300,-0.0208643815201192,"2015-10"
2017-10-31,82749,"56282","MN","Willmar","Kandiyohi","Raymond",14874,116500,0.00344530577088717,0.0648994515539305,0.207253886010363,0.0478979744006556,0.011220396067418,"2006-01","2006-Q1",127700,-0.0877055599060298,"2005-11"
2017-10-31,59269,"03882","NH",,"Carroll","Effingham",14875,165600,0.00914076782449726,0.0241187384044527,0.0541056651814131,0.0203935539694762,-0.0229135653504641,"2004-06","2004-Q2",227400,-0.271767810026385,"2002-08"
2017-10-31,60216,"06242","CT","Worcester","Windham","Eastford",14876,246800,-0.000405022276225192,0.0168932838895756,0.0322040987034714,0.0225138923835075,-0.00534970093970066,"2007-07","2007-Q3",268400,-0.0804769001490313,"2005-06"
2017-10-31,77622,"45363","OH","Sidney","Shelby","Russia",14877,170300,-0.0184438040345821,-0.00292740046838408,0.0271411338962606,0.0326884724002203,0.0141338834264289,"2017-08","2017-Q3",174600,-0.0246277205040092,"2017-07"
2017-10-31,79165,"48370","MI","Detroit","Oakland","Oxford Township",14878,351100,0.000855188141391106,0.00544100801832761,0.0458742925230861,0.0665537437954429,0.012006584146554,"2017-10","2017-Q4",351100,0,"2017-10"
