"RegionID","RegionName","City","County","State","Metro","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
61639,"10025","New York","New York","NY","New York",1,4.00296515937731,3.70370370370371,3.97166585246702,3.37115078350471,3.26340326340326,4.89559541834544,4.01606425702812,4.01050193050193,4.34782608695652,4.14878397711016,3.76946956404373,5.25547445255474,4.3010752688172,3.70370370370371,4.54545454545454,4.86409155937053,5.01002004008017,4.83338104780991,4.29292929292929,3.39892665474061,4.77326968973747,3.38709677419354,3.95078626868457,1.96924231057765,4.24374319912949,3.78681626928471,3.99844573846311,6.26194852941176,4.67649396632704,4.06378474736783,3.63636363636364,5.78947368421052,4.04998525285342,4.2112644866022,5.24369867758828,9.21985815602837,4.08,4.54545454545454,3.67671691792295,6.01503759398496,4.54545454545454,4.69428332442031,4.33179723502304,6.47058823529412,4.00307692307692,3.70822102425876,4.55729702305045,7.9155672823219,4.58041958041958,5.41820094687007,3.82377344877345,3.28309059678024,5.58659217877095,3.82081686429513,4.44692978409044,3.41085271317829,3.93684210526316,3.79310344827586,4.03846153846153,2.38663484486874,5.55555555555556,5.52978295541224,5.40540540540541,4.63520376563855,3.12093628088427,3.87261820748059,4.00148257968866,3.64839101784915,4.08533533533533,4.59605489130258,4.44664031620553,5.26315789473685,4.80961923847696,5.09038051925623,4.53731343283582,3.58195565808023,5.0125313283208,2.90726817042607,3.19648692810457,3.85356454720617,3.59603789836348,3.92740850561458,4,5.78838642769326,5.26315789473685,4.4
84654,"60657","Chicago","Cook","IL","Chicago",2,3.92678227360309,3.57204997042141,3.50877192982456,4.19392073874567,4.36507936507936,3.51493848857645,3.48837209302325,3.26086956521739,3.58487322733133,4.04558635394456,3.57193884840692,3.72593148287071,3.8237818004515,3.73155109997216,4.15584415584416,5.05050505050505,4.22654268808115,3.65942912905587,3.2520325203252,3.84968242766408,4.11071526445601,3.584229390681,3.72750642673522,3.80622837370242,3.11286478903248,4,3.61532899493854,2.84819313130892,4.72016289025791,4.03621355193185,2.78516272345827,3.24347053737677,4.11071526445601,3.93595730486991,3.65942912905587,3.34448160535117,3.22788896061975,2.94117647058824,2.86834638714953,4.77326968973747,3.02929747194691,2.5974025974026,2.89607939059334,3.33889816360601,3.33388907413582,2.85714285714286,3.0281182408075,3.42995169082125,2.94545221277445,2.66844681797953,2.55319148936171,2.5,2.72366656404703,3.29879101899827,2.63852242744064,3.05283224400871,2.70270416362387,3.10679611650485,2.93644408688656,2.85795941697627,3.57142857142857,3.18275859108742,2.98059611922384,3.20427236315087,2.78112659991482,3.13131313131313,3.00375469336671,3.3537880825574,2.74047684297067,2.47754722824404,2.58108139616219,2.92708079845066,3.04761904761904,3.21555986663513,2.32828870779976,2.50125062531266,2.69145895886843,2.62461140436896,2.9126213592233,2.85714285714286,3.12152004454343,2.51651462724127,3.10189910102399,2.50156445556946,2.89130008274262,2.7800953826998
61637,"10023","New York","New York","NY","New York",3,5.18134715025906,5.56173526140156,4.21052631578948,5.59743954480796,4.92063492063493,5.11445873569429,3.65853658536586,4.25360321026657,4.76947535771065,4.80769230769231,3.53982300884956,4.48264478400302,4.81927710843374,3.42007434944238,4.07407407407407,3.15151515151515,3.23232323232323,4.55348296213329,3.84615384615384,4.14150437734501,4.25531914893616,3.23058431438034,4.76190476190477,4.76947535771065,4.14789323484976,4.00803212851406,4.62695199537305,6.0727980465357,5.44088230944653,5.0125313283208,4.07999999999999,4.65116279069767,3.98298298298299,5.07936507936508,3.94396551724138,4.88095238095239,4.00667779632721,4.52836637047163,5.17838348690852,4.24699503211635,5.27873929677536,4.26439232409381,5.30350877192983,5.06033050185456,5.66037735849056,4.34782608695652,4.04011936339522,4.10509031198686,5.95789219347186,5.08589189533803,4.16051788143605,5.58633938932935,6.03122210808171,5.55593761700632,4.29139167569114,5.93319394627152,4.32,5,4.4,4.87804878048781,4.56572090330052,5.25062656641604,4.78095238095239,4.63076384635576,5.40540540540541,4.2,4.6875,3.71057513914657,4.17522245037646,4.08768267223382,3.16806722689076,3.63636363636364,4.00801603206413,3.38846364133406,4.35729847494554,3.50877192982456,6.4748201438849,3.85356454720617,4.08333333333333,3.70707070707071,3.80035933936839,3.6979969183359,4.04880458760413,4.07407407407407,3.87096774193548,5.05807200929153
84616,"60614","Chicago","Cook","IL","Chicago",4,3.63454484828276,3.43347639484979,3.35124764567565,3.75,3.51977262171556,3.03122158229766,3.70446390295445,3.06086074481959,3.03951367781155,3.22684737011939,3.41496598639456,3.61518377184173,3.75411238160958,3.85542168674698,3.69393139841688,3.9516577540107,3.36842105263158,3.71107170152931,3.57846696400788,3.48150168166531,3.70507595405706,3.56612971598135,3.49049707602339,3.52220520673813,3.02986379229313,3.06351600469247,3.27231080739053,4.45613338626439,3.57193884840692,3.53356890459364,3.83949618791798,2.69326447508458,2.7027027027027,3.57896286906054,3.23101777059773,2.77854959711031,3.49003369463727,3.05869189584637,3.53684210526316,3.13479623824452,3.70713942142514,2.93660765276985,2.70406434085591,3.09185959671396,2.82937982280652,3.05010893246187,3.04143702796489,3.05038245990857,3.05591222131434,3.27956989247312,3.22710770471965,3.46889872381703,2.83923611874455,3.58133007931666,2.66666666666666,3.44086021505376,3.03060606060606,2.94117647058824,2.86532951289399,2.80301407042354,2.86123032904149,3.1437125748503,2.84403669724771,2.57378962764038,2.13231273920175,2.75675675675676,2.73919156052135,2.63852242744064,3.00545141131295,3.34789467637672,3.12915563401,2.81800951109373,2.85795941697627,2.41796200345423,3.22684737011939,2.38237130370623,2.83185840707965,2.96175185596272,2.94225834231287,2.37442922374429,2.86123032904149,2.82768777614139,2.29885057471264,2.82131661442007,2.3132906350927,2.36235473423509
84640,"60640","Chicago","Cook","IL","Chicago",6,3.97379912663756,5,4.54545454545454,4.05653278787413,4.76417341591234,4.21052631578948,3.94736842105263,4.77914965986395,4.00320256204964,4.00778112292037,4.98823133826496,5.0025025025025,4.80400129073895,4.87946863620045,4.9603836530442,4.97482981380845,5.0251256281407,5.0251256281407,4.01069518716578,3.79208340287107,4.54545454545454,3.751357002131,4.76190476190477,3.8595363796076,4.00320256204964,3.87719100701873,6.25195434646654,3.84615384615384,4.21099290780141,3.57398141529665,3.83456319785235,3.56584960531782,3.23624595469255,3.72593148287071,3.8810436364721,3.47316384496304,3.34448160535117,3.84911470361817,3.54350963046615,6.89542758818716,3.7921146953405,3.92310710082385,3.27974916369973,4,3.23206745765615,3.38800192084621,3.42372881355932,3.1945788964182,3.06351600469247,3.18840579710145,3.29749103942653,4.5122221568725,3.72670807453416,3.42857142857143,3.584229390681,3.36275746111812,3.71747211895911,4.0016006402561,3.44887059747118,3.59569153680762,3.16961649223426,3.24675324675324,3.12695434646654,3.24675324675324,2.96657196846289,3.45730027548209,4.37397484964461,3.50877192982456,3.57398141529665,2.85714285714286,2.73224043715847,3.23624595469255,4,2.85732323232323,3.07692307692308,4.86989459815547,2.79799433189671,3.33333333333333,3.12805933234011,2.82394190231636,2.85714285714286,3.01690414221768,2.98604278074867,2.98507462686567,2.91653608493843,2.77874261896491
62087,"11375","New York","Queens","NY","New York",14,4.24761475471415,4.80769230769231,4.40586519605403,4.60890665902055,5.75229357798165,5.5045871559633,7.11724630670189,6.19035179380007,5.6892723558399,6.26959247648903,6.94444444444444,6.99162011173184,6.40625,5.04060614309696,4.87312572087659,5.12553151989289,4.36681222707423,4.88997555012225,3.87096774193548,3.24324324324324,3.73030583873957,4.1095890410959,4.18410041841004,4.26694778020378,3.77358490566038,3.71559633027523,4.15224913494809,3.46153846153846,4.24753085491799,4.5662100456621,3.70370370370371,4.27927927927928,3.65296803652968,4.11390804403905,3.3947823224426,3.22823994589251,3.31081081081081,4.78496884119207,3.15469970642385,3.70524069243539,3.10551558752998,5.25835671195702,4.04040404040404,3.49728629579376,4.36681222707423,2.45288344075151,3.15151515151515,4.18410041841004,3.86100386100386,4.18410041841004,4.26595744680851,3.19796259269304,3.8663887234465,2.94985250737463,4.78468899521531,4.4271714922049,3.87948602441169,3.34448160535117,1.82149362477231,3.31964809384164,3.26876112667905,3.93050993053393,4.2016806722689,2.50620732464308,4.73478503629257,5.50000000000001,4.70588235294118,3.6697247706422,3.584229390681,3.17965023847376,6.82891285339551,4.03225806451613,4.45613338626439,3.85288770173509,3.78372654132476,3.62604540023895,6.10902255639098,4.56699029126214,3.03490136570561,3.03030303030303,4.00801603206413,3.03490136570561,2.54545454545455,3.84615384615384,3.75039882194134,4.53873317182834
61630,"10016","New York","New York","NY","New York",15,3.51724137931034,3.78071833648393,3.06122448979592,5.06970849176173,3.38709677419354,2.98953662182362,4.11522633744856,4.32528611285088,4.29765553476893,3.38709677419354,3.42341861130934,5.47368421052632,4.76758045292014,3.8651507651734,4.40693327291265,5.34818941504178,3.36342519269349,3.25954238997717,4.16,3.01003344481605,3.56009741969457,3.68421052631579,3.40277777777778,3.47222222222222,4.53403380539059,4.63104075533804,2.91248606465998,5.0103519668737,4.08163265306123,3.67484705527552,4.98363486860941,4.26666666666666,4.05880253658001,4.76190476190477,4.31011966374198,5.06329113924051,5.13784461152882,3.02608389918034,3.63636363636364,3.99624070102984,3.125,5.39088104877579,4.04624277456648,2.71002710027101,3.53630808583203,3.84732598838229,3.51703572809101,2.82003710575139,3.42857142857143,4.0174672489083,3.75,3.24797001873829,3.49996783332261,3.15151515151515,3.28986534372785,4.95238095238095,4.54545454545454,2.97297297297298,3.49337397608511,2.79424653296902,3.84615384615384,5.57275541795666,2.91666666666667,3.77939691242245,3.4349276974416,3.40501792114695,4.27216126725602,4.17808219178082,3.89013135099379,2.79635258358663,4.14953834233691,4.56521739130434,3.12695434646654,3.49431093223002,4.16,4.47046301224056,3.45353594389246,3.33555703802535,3.47490347490348,3.59947361608491,3.54880194937052,3.84615384615384,2.65904365904366,3.61881785283474,3.38709677419354,3.10880544576197
62045,"11235","New York","Kings","NY","New York",17,3.64583333333334,8.09717912400394,5.18518518518518,3.55029585798816,8.34724540901503,4.9665505441317,3.24324324324324,2.98507462686567,4.00534045393859,3.70666666666666,5,5.27704485488126,4.77334449760766,5.13010287203836,4.52525748919876,4.38286852589641,5.72246065808297,4.17538354253835,4.0625,6.56565656565656,3.79966591098914,3.21169055361515,3.47347347347348,4.17536534446764,4.4978279076213,4.72342472342472,8.90131002522934,4.62689761660883,4.74119182253153,3.07692307692308,4.81236601873931,3.5799522673031,3.86100386100386,3.50877192982456,5.72811041583071,3.74923127012264,4.77279738034786,2.74133333333333,2.7027027027027,3.13173022386815,3.97012578616352,3.29249577318247,3.70370370370371,3.414070036378,2.44498777506112,3.42789667549832,4.27069944667779,4.07096751924338,3.71367183082664,5.35714285714286,3.0605888882124,2.44702524472329,2.50696378830083,3.10077519379846,3.2,4.52830188679245,3.67581064752673,4.18410041841004,3.4257771568285,4.05813341871155,4.5959595959596,2.77737630678807,3.23101777059773,2.56410256410257,1.68287000501766,3.71057513914657,3.07734877814437,2.78845304355508,3.29032258064517,3.81294964028777,2.59773996622938,2.35294117647059,2.75049115913556,2.87792447010661,2.98953662182362,4.34782608695652,3.64583333333334,2.77766975296639,1.92678227360308,2.50312891113892,2.56739409499358,3.06633291614519,3.49799196787148,2.15401371894698,1.69491525423728,3.08166409861325
84646,"60647","Chicago","Cook","IL","Chicago",18,3.72170180091491,3.69444200715588,3.29239999408905,4.86636522362001,5.40461826157986,4.30622009569378,5.65552699228792,4.02666666666667,3.56220324528649,3.678536367693,4.09260024803638,5.10378510378511,3.50877192982456,3.81879664179104,4.16666666666666,4.1095890410959,4.18410041841004,4.41306266548985,4.15075253628665,3.75335120643432,4.34782608695652,3.46020761245674,3.48262179440076,5,5.1741979993101,4.30758387039322,6.39658848614072,5.26870389884089,4.5468323734465,5.88581518540318,5.70408979551023,4.22275569781571,2.46774519675583,3.52942006922369,3.56524695019372,3.33444481493831,2.82173736865527,2.77932184546971,2.84177002742642,4.86303067719953,3.31796913960515,3.72272143774069,2.98507462686567,3.88349514563107,3.36111111111111,3.41986577257812,3.75939849624061,4.18300877566817,3.26395611487577,3.18098562055005,3.84615384615384,5.29100529100529,3.90617996513409,3.50625753291743,2.96746356712015,3.4489894460923,3.39075977785655,3.02395748285942,4.10114408991704,3.40909090909091,3.63855421686747,3.92927308447937,3.14878892733564,2.77854959711031,2.33932461873638,3.53136684669713,3.63636363636364,2.60869565217391,2.65486725663717,3.17965023847376,2.67137403842868,2.94691224268689,2.90318893587839,3.32044182460325,2.53302165972483,1.90036170725826,2.90006603565925,3.89098998887653,2.6809740479733,3.80069103473358,2.78551532033426,2.44556776556777,2.65516855662807,2.17864923747276,3.12011189769576,2.94573078376527
84620,"60618","Chicago","Cook","IL","Chicago",22,3.83813340967649,3.50877192982456,3.70507595405706,3.75652431103275,5.19294902334445,4.01606425702812,5.26315789473685,4.92211438923396,4.18410041841004,4.99502567676246,5.29100529100529,4.9049049049049,4.98965279374569,4.76190476190477,6.06999327637182,5.98214285714286,5.79742827832608,3.85402493095088,4.18410041841004,3.85357885357885,4.48888888888889,4.4,6.03143880940549,3.74342105263158,4.48029213310873,4.50204638472033,5.40613606307037,3.53746057761554,4.65332712889717,4.25622472866567,2.94204177699323,3.03122158229766,3.00813449514554,3.61360832011282,3.90191391992292,3.52941176470588,3.74199867081745,4.09201936464154,4.46001911436763,4.48998466140909,6.73333333333334,4.51791044776119,3.51724137931034,3.44419094419094,3.68634266008856,2.85755113705957,2.56587468826725,3.40731478587059,3.94665576690236,4.1095890410959,3.33006048228733,4.61538461538461,3.97727272727273,4.0016006402561,3.33333333333333,2.65548370754498,2.89855072463768,2.50125062531266,3.27868852459017,2.56410256410257,2.95949027498323,2.72056335645407,3.03030303030303,3.22006472491909,3.50372890507322,2.39130434782608,4.06164965291956,3.74901438731226,3.45065562456867,2.49366300706722,2.69540800271114,2.94290759270159,2.43961941937058,3.1227416117006,2.99224874829089,3.31345261762757,1.12262521588946,3.42857142857143,3.08689024390244,2.5062656641604,2.74060556907272,2.67471886447584,3.36524492456696,2.91664404509835,2.90750084249721,2.57664002689784
