"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"55807","MN","Duluth","Saint Louis","Duluth",8390,984,0.00716479017400205,-0.00404858299595142,-0.0257425742574257,3934
2017-10-31,"35660","AL","Florence","Colbert","Sheffield",8391,805,-0.00124069478908189,0.0087719298245614,0.0509138381201044,3273
2017-10-31,"92252","CA","Riverside","San Bernardino","Joshua Tree",8392,950,0.00316789862724393,0.0314875135722041,0.0710259301014656,4362
2017-10-31,"37062","TN","Nashville","Williamson","Fairview",8393,1607,0.00374765771392879,-0.0092478421701603,-0.00433705080545229,4311
2017-10-31,"43023","OH","Columbus","Licking","Granville",8394,1794,0.0135593220338983,0.0216400911161731,-0.0121145374449339,3731
2017-10-31,"07604","NJ","New York","Bergen","Hasbrouck Heights",8395,2173,-0.000919540229885057,-0.00776255707762557,-0.0772823779193206,3347
2017-10-31,"98019","WA","Seattle","King","Duvall",8396,2488,-0.000401767778224186,0.00161030595813205,0.0353724511027882,3557
2017-10-31,"15656","PA","Pittsburgh","Westmoreland","Allegheny Township",8397,920,0.0121012101210121,0.0454545454545455,-0.0212765957446809,3666
2017-10-31,"70445","LA","New Orleans","Saint Tammany","Lacombe",8398,1253,0.00723472668810289,-0.00555555555555556,-0.0521936459909228,4177
2017-10-31,"54971","WI","Fond du Lac","Fond du Lac","Ripon",8399,925,0.0220994475138122,0.136363636363636,0.125304136253041,3420
2017-10-31,"79772","TX","Pecos","Reeves","Pecos",8400,967,-0.00411946446961895,0.0010351966873706,0,2272
2017-10-31,"92241","CA","Riverside","Riverside","Desert Hot Springs",8401,1559,0.00321750321750322,0.0143135979180221,0.0393333333333333,1105
2017-10-31,"28425","NC","Wilmington","Pender","Burgaw",8402,971,0.00413650465356774,0.00726141078838174,0.0253431890179514,2848
2017-10-31,"77954","TX",,"De Witt","Cuero",8403,1235,-0.000809061488673139,0.0048820179007323,0.0016220600162206,2446
2017-10-31,"04730","ME",,"Aroostook","Town of Houlton",8404,942,0.0139935414424112,0.0815154994259472,0.0852534562211982,2033
2017-10-31,"32640","FL","Palatka","Putnam","Hawthorne",8405,1153,0.0140721196130167,0.0453309156844968,0.0276292335115865,2719
2017-10-31,"03909","ME","Portland","York","Cape Neddick",8406,1945,-0.0136916835699797,-0.0328194927896569,0.126882966396292,12842
2017-10-31,"49837","MI","Escanaba","Delta","Gladstone",8407,893,0.00676437429537768,0.0113250283125708,-0.00997782705099778,4994
2017-10-31,"30531","GA","Cornelia","Habersham","Cornelia",8408,1123,0.0117117117117117,0.0255707762557078,0.083976833976834,3908
2017-10-31,"08620","NJ","Trenton","Mercer","Hamilton Township",8409,1958,0.0118863049095607,0.0289017341040462,0.0187304890738814,3825
2017-10-31,"87004","NM","Albuquerque","Sandoval","Bernalillo",8410,1211,-0.000825082508250825,-0.016246953696182,-0.00493015612161052,2521
2017-10-31,"95334","CA","Merced","Merced","Livingston",8411,1237,0.00243111831442464,0.0114472608340147,0.0645438898450947,2911
2017-10-31,"95811","CA","Sacramento","Sacramento","Sacramento",8412,1816,0.0139586823003908,0.0329920364050057,0.063231850117096,775
2017-10-31,"60554","IL","Chicago","Kane","Sugar Grove",8413,2073,0.00875912408759124,0.0318566450970632,0.0438066465256798,4122
2017-10-31,"21047","MD","Baltimore","Harford","Fallston",8414,2157,0.018413597733711,0.0527086383601757,0.0450581395348837,4484
2017-10-31,"92313","CA","Riverside","San Bernardino","Grand Terrace",8415,1875,-0.00318979266347687,0.00321027287319422,0.0708166761850371,3016
2017-10-31,"98346","WA","Bremerton","Kitsap","Kingston",8416,1900,-0.000526038926880589,0.0138740661686233,0.0913268236645606,3188
2017-10-31,"67219","KS","Wichita","Sedgwick","Park City",8417,761,-0.00131233595800525,0.00131578947368421,-0.0391414141414141,4304
2017-10-31,"27052","NC","Winston-Salem","Stokes","Walnut Cove",8418,1075,0.00655430711610487,0.0326609029779059,0.0487804878048781,2134
2017-10-31,"30268","GA","Atlanta","Fulton","Palmetto",8419,1188,0.00422654268808115,0.00168634064080944,0.0531914893617021,3569
2017-10-31,"33976","FL","Fort Myers","Lee","Lehigh Acres",8420,1232,0.00571428571428571,0.0224066390041494,0.0326906957250629,4684
2017-10-31,"94305","CA","San Jose","Santa Clara","Stanford",8421,7314,0.0159744408945687,0.0490533562822719,-0.0412898151789225,910
2017-10-31,"72560","AR",,"Stone","Mountain View",8422,984,-0.00202839756592292,-0.00404858299595142,0.00716479017400205,2108
2017-10-31,"93730","CA","Fresno","Fresno","Fresno",8423,2167,-0.000922083909635777,0.00138632162661738,0.0299429657794677,4095
2017-10-31,"07436","NJ","New York","Bergen","Oakland",8424,2548,-0.000392310710082385,0.0228823765556002,0.0245275432247688,4443
2017-10-31,"76426","TX","Dallas-Fort Worth","Wise","Bridgeport",8425,1283,0.0142292490118577,0.0594549958711808,0.0763422818791946,2363
2017-10-31,"89703","NV","Carson City","Carson City","Carson City",8426,1642,0.0117067159581023,0.024329382407985,0.0697068403908795,3722
2017-10-31,"17003","PA","Lebanon","Lebanon","Annville",8427,1165,0.000859106529209622,-0.00256849315068493,0.0457809694793537,2794
2017-10-31,"73045","OK","Oklahoma City","Oklahoma","Harrah",8428,1071,-0.0110803324099723,-0.0210237659963437,0.010377358490566,3518
2017-10-31,"02465","MA","Boston","Middlesex","Newton",8429,3248,0.00123304562268804,-0.00520673813169985,0.0617848970251716,3116
2017-10-31,"15084","PA","Pittsburgh","Allegheny","Tarentum",8430,908,0.00888888888888889,0.0190796857463524,-0.0162513542795233,3571
2017-10-31,"78256","TX","San Antonio","Bexar","San Antonio",8431,2661,-0.00486163051608078,-0.00819977636973537,0.0125570776255708,1649
2017-10-31,"19004","PA","Philadelphia","Montgomery","Lower Merion Township",8432,2672,-0.00963676797627873,-0.0290697674418605,0.0237547892720307,3743
2017-10-31,"46405","IN","Chicago","Lake","Lake Station",8433,848,0.004739336492891,0.00832342449464923,0.0180072028811525,5759
2017-10-31,"10803","NY","New York","Westchester","Pelham",8434,5241,0.0030622009569378,0.0038306837770542,0.0228337236533958,3056
2017-10-31,"18324","PA","New York","Pike","Lehman Township",8435,1244,0.0032258064516129,0.00484652665589661,0.0462573591253154,3405
2017-10-31,"19086","PA","Philadelphia","Delaware","Nether Providence",8436,2130,-0.00187441424554827,-0.0157116451016636,0.0752145381120646,4383
2017-10-31,"82240","WY",,"Goshen","Torrington",8437,955,-0.0103626943005181,-0.0304568527918782,-0.0553907022749753,2412
