"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","12019","NY","""Albany-Schenectady-Troy, NY""",8916,60,10.3896103896104,90,2.12121212121212,6.36995827538248
"Zip","12308","NY","""Albany-Schenectady-Troy, NY""",9026,60,21.7391304347826,131,10,6.36995827538248
"Zip","12188","NY","""Albany-Schenectady-Troy, NY""",9648,60,24,91,8.48484848484848,6.36995827538248
"Zip","12211","NY","""Albany-Schenectady-Troy, NY""",9807,60,17.4418604651163,78,4.24242424242424,6.36995827538248
"Zip","12209","NY","""Albany-Schenectady-Troy, NY""",10042,60,11.3207547169811,81,1.21212121212121,6.36995827538248
"Zip","12061","NY","""Albany-Schenectady-Troy, NY""",10183,60,13.1578947368421,69,1.51515151515152,6.36995827538248
"Zip","12803","NY","""Albany-Schenectady-Troy, NY""",10361,60,15.6862745098039,105,8.18181818181818,6.36995827538248
"Zip","12198","NY","""Albany-Schenectady-Troy, NY""",10620,60,12.0689655172414,113,4.84848484848485,6.36995827538248
"Zip","12033","NY","""Albany-Schenectady-Troy, NY""",10631,60,20,86,6.66666666666667,6.36995827538248
"Zip","12018","NY","""Albany-Schenectady-Troy, NY""",10653,60,18.3673469387755,85.5,5.45454545454545,6.36995827538248
"Zip","12009","NY","""Albany-Schenectady-Troy, NY""",10718,60,13.3333333333333,134,7.57575757575758,6.36995827538248
"Zip","12822","NY","""Albany-Schenectady-Troy, NY""",10907,60,10.5263157894737,149,5.15151515151515,6.36995827538248
"Zip","12077","NY","""Albany-Schenectady-Troy, NY""",10919,60,12.6760563380282,66,0.454545454545455,6.36995827538248
"Zip","87111","NM","""Albuquerque, NM""",1568,59,24.024024024024,72,5.2,7.67732962447844
"Zip","87114","NM","""Albuquerque, NM""",1640,59,23.0383973288815,73,4.6,7.67732962447844
"Zip","87120","NM","""Albuquerque, NM""",1789,59,24.0384615384615,72,6.8,7.67732962447844
"Zip","87121","NM","""Albuquerque, NM""",1875,59,16.580310880829,71,0.6,7.67732962447844
"Zip","87124","NM","""Albuquerque, NM""",2192,59,20.6088992974239,77,4,7.67732962447844
"Zip","87112","NM","""Albuquerque, NM""",2599,59,23.6749116607774,70,3,7.67732962447844
"Zip","87109","NM","""Albuquerque, NM""",2655,59,21.9101123595506,62.5,1.2,7.67732962447844
"Zip","87105","NM","""Albuquerque, NM""",2715,59,8.71794871794872,98,2.4,7.67732962447844
"Zip","87110","NM","""Albuquerque, NM""",2842,59,26.431718061674,64,3.6,7.67732962447844
"Zip","87123","NM","""Albuquerque, NM""",2880,59,28.3687943262411,81,9.6,7.67732962447844
"Zip","87108","NM","""Albuquerque, NM""",2911,59,28.2208588957055,75,8.8,7.67732962447844
"Zip","87031","NM","""Albuquerque, NM""",3733,59,14.9659863945578,100,6.2,7.67732962447844
"Zip","87144","NM","""Albuquerque, NM""",4245,59,20.9439528023599,67,1.6,7.67732962447844
"Zip","87107","NM","""Albuquerque, NM""",4875,59,20.5,85,7.4,7.67732962447844
"Zip","87106","NM","""Albuquerque, NM""",5208,59,32.089552238806,76,9.2,7.67732962447844
"Zip","87102","NM","""Albuquerque, NM""",6592,59,16.1016949152542,76.5,2,7.67732962447844
"Zip","87002","NM","""Albuquerque, NM""",7572,59,12.6168224299065,124,5.6,7.67732962447844
"Zip","87122","NM","""Albuquerque, NM""",8577,59,21.6216216216216,81,8,7.67732962447844
"Zip","87113","NM","""Albuquerque, NM""",8929,59,31.5315315315315,63,4.6,7.67732962447844
"Zip","87104","NM","""Albuquerque, NM""",9137,59,20,69.5,0.6,7.67732962447844
"Zip","87004","NM","""Albuquerque, NM""",9864,59,13.8461538461538,93.5,3,7.67732962447844
"Zip","87048","NM","""Albuquerque, NM""",9946,59,17.9245283018868,105.5,8.4,7.67732962447844
"Zip","87059","NM","""Albuquerque, NM""",10028,59,20.4081632653061,88.5,7.4,7.67732962447844
"Zip","87043","NM","""Albuquerque, NM""",10976,59,24.4186046511628,99,10,7.67732962447844
"Zip","87047","NM","""Albuquerque, NM""",11005,59,10.5263157894737,126,6.2,7.67732962447844
"Zip","18103","PA","""Allentown-Bethlehem-Easton, PA-NJ""",2814,67,17.8947368421053,77,0.810810810810811,8.88734353268428
"Zip","18104","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3203,67,24.4239631336406,80,6.21621621621622,8.88734353268428
