"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"53507","WI","Madison","Iowa","Barneveld",14446,1293,0.0149136577708006,0.0469635627530364,0.0294585987261147,861
2017-10-31,"56511","MN",,"Becker","Audubon",14447,1435,0.00560616678346181,0.0206258890469417,-0.00208623087621697,1061
2017-10-31,"72853","AR","Russellville","Yell","Plainview",14448,746,0.00268817204301075,0.00810810810810811,-0.00400534045393859,477
2017-10-31,"99181","WA","Spokane","Stevens","Valley",14449,1091,0.000917431192660551,0.00552995391705069,0.0139405204460967,1054
2017-10-31,"06060","CT","Hartford","Hartford","North Granby",14450,2335,0.00128644939965695,0.0108225108225108,0.0447427293064877,819
2017-10-31,"12958","NY","Plattsburgh","Clinton","Town of Mooers",14451,1465,0.0166551006245663,0.0441910192444761,-0.0686586141131596,525
2017-10-31,"17244","PA","Chambersburg","Franklin","Letterkenny Township",14452,1113,0.00906618313689937,0.0211009174311927,-0.00268817204301075,604
2017-10-31,"48464","MI","Detroit","Lapeer","Otter Lake",14453,993,0.00201816347124117,0.00100806451612903,0.00100806451612903,1074
2017-10-31,"71039","LA","Shreveport","Webster","Heflin",14454,1037,0.00973709834469328,0.037,0.0287698412698413,500
2017-10-31,"12740","NY",,"Sullivan","Neversink",14455,1264,0.00158478605388273,-0.000790513833992095,0.0394736842105263,617
2017-10-31,"14422","NY","Batavia","Genesee","Byron",14456,1434,0.0105708245243129,0.0228245363766049,-0.00347463516330785,656
2017-10-31,"17321","PA","York","York","Fawn",14457,1426,-0.0138312586445367,-0.0448760884125921,0.0819423368740516,667
2017-10-31,"22610","VA","Washington","Warren","Bentonville",14458,1445,-0.000691562932226833,0.0328806290207291,-0.000691562932226833,939
2017-10-31,"29114","SC","Florence","Florence","Olanta",14459,835,0.00723763570566948,0.00119904076738609,0.0385572139303483,529
2017-10-31,"93553","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Pearblossom",14460,1924,0.0131648235913639,0.0327428878153516,0.118604651162791,594
2017-10-31,"24467","VA","Staunton","Augusta","Mount Sidney",14461,1363,-0.0108853410740203,-0.0180115273775216,-0.0116026105873822,851
2017-10-31,"66056","KS","Kansas City","Linn","Mound City",14462,803,0.006265664160401,0.010062893081761,-0.0278450363196126,687
2017-10-31,"81140","CO",,"Conejos","La Jara",14463,1210,0.00498338870431894,0.0151006711409396,0.0567685589519651,745
2017-10-31,"17086","PA",,"Juniata","Monroe Township",14464,1131,0.000884955752212389,-0.00440140845070423,0.00177147918511957,506
2017-10-31,"32625","FL",,"Levy","Cedar Key",14465,1578,-0.00629722921914358,-0.00504413619167718,0.0147909967845659,540
2017-10-31,"43946","OH",,"Monroe","Clarington",14466,903,0.00668896321070234,0.0203389830508475,-0.0066006600660066,477
2017-10-31,"14171","NY","Olean","Cattaraugus","Ashford",14467,1269,0.0127693535514765,0.0258690379951496,-0.0290742157612854,545
2017-10-31,"46070","IN","Indianapolis","Madison","Summitville",14468,775,-0.0114795918367347,-0.0288220551378446,0.0402684563758389,880
2017-10-31,"49287","MI","Adrian","Lenawee","Onsted",14469,1208,0.0125733445096396,0.0440795159896284,0.15047619047619,990
2017-10-31,"18464","PA","New York","Pike","Palmyra Township",14470,1368,0.00366837857666911,0.0324528301886792,0.0629370629370629,680
2017-10-31,"27950","NC","Virginia Beach","Currituck","Knotts Island",14471,1305,0.00616808018504241,0.0211267605633803,0.0558252427184466,648
2017-10-31,"45054","OH","Cincinnati","Warren","Oregonia",14472,1590,-0.00250941028858218,0,0.0127388535031847,763
2017-10-31,"45306","OH","Sidney","Shelby","Botkins",14473,1126,-0.00442086648983201,-0.0079295154185022,-0.00967458223394899,582
2017-10-31,"60043","IL","Chicago","Cook","Kenilworth",14474,7413,-0.00523349436392915,-0.0134415757253127,-0.115288220551378,850
2017-10-31,"32694","FL","Gainesville","Alachua","Waldo",14475,1167,-0.000856164383561644,-0.00256410256410256,0.0428954423592493,522
2017-10-31,"61376","IL","Ottawa","Bureau","Walnut",14476,1121,-0.00884173297966401,0.00538116591928251,-0.0218150087260035,592
2017-10-31,"91916","CA","San Diego","San Diego","Descanso",14477,2286,0.00616197183098592,0.0119521912350598,0.0390909090909091,593
2017-10-31,"13327","NY",,"Lewis","Town of Croghan",14478,1293,0.00936768149882904,0.0278219395866455,-0.0226757369614512,697
2017-10-31,"49730","MI",,"Antrim","Elmira",14479,930,-0.00321543408360129,0.00540540540540541,0.0253583241455347,1804
2017-10-31,"12472","NY","Kingston","Ulster","Rosendale",14480,1619,-0.00369230769230769,-0.0134064594759293,0.0478964401294498,462
2017-10-31,"13416","NY","Utica","Herkimer","Town of Newport",14481,1373,0.00733675715333823,0.0230998509687034,-0.0171796707229778,544
2017-10-31,"13625","NY","Ogdensburg","Saint Lawrence","Colton",14482,1345,-0.0239477503628447,-0.042022792022792,-0.0440653873489694,562
2017-10-31,"16920","PA",,"Tioga","Elkland",14483,964,0.00521376433785193,0.0277185501066098,-0.0511811023622047,513
2017-10-31,"29001","SC",,"Clarendon","Alcolu",14484,964,-0.00515995872033024,-0.017329255861366,0.0299145299145299,652
2017-10-31,"29664","SC","Seneca","Oconee","Mountain Rest",14485,1205,-0.0114848236259229,0.0203217612193057,0.14326375711575,746
2017-10-31,"51449","IA",,"Calhoun","Lake City",14486,836,0.0072289156626506,0.0410958904109589,-0.00476190476190476,959
2017-10-31,"60927","IL",,"Iroquois","Clifton",14487,1356,0.00221729490022173,0.000738007380073801,-0.0173913043478261,556
2017-10-31,"71439","LA","Fort Polk South","Vernon","Hornbeck",14488,1037,0.0156709108716944,0.0495951417004049,0.059244126659857,464
2017-10-31,"08732","NJ","New York","Ocean","Island Heights",14489,1994,0.00352289884247609,0.0142421159715158,0.0628997867803838,806
2017-10-31,"21520","MD",,"Garrett","Accident",14490,1240,0.00731112916328188,0.0231023102310231,0.0231023102310231,912
