"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062500,1050000,1049000,1050000,1049000,1049000,999499.5,1099500,1169000,1100000,1129900,1099900,1114900,1162500,1212450,1225000,1212450,1195000,1180000
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6323000,6300000,6400000,6323000,6400000,6485000,6300000,6325000,6417500,6485000,6530000,7e+06,7e+06,6675000,6575000,6737500,6575000,6990000,6925000,7290000,6800000,6995000,6995000,6995000,6675000
"77494","Cinco Ranch","TX","Houston","Fort Bend",3,285000,282450,287950,287489,286515,289000,285000,284950,285900,279945,279900,277282,275900,275031,280780,289000,284245,284900,289900,284091,268895,270596.5,269609,275000,277152,274064,279900,278990,281909,283968,284950,285000,283490,285363,291990,296990,301990,310900,323945,320990,320000,324900,324999.5,328500,329500,335000,339500,346234,349900,349990,359900,359995,359900,357990,358450,359900,359000,363697,369900,382900,389900,379900,383990,385339,385000,375990,384900,375990,378421,379500,379945,379990,376194,364900,359850,360000,365000,370450,367995,368000,369994.5,374500,366032.5,368000,365000,369999.5,369990,374900,375000,374990,371365.5,370000,370000,372000
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,219195,219500,215000,219500,217900,219245,214900,218945,228900,219450,225000,228000,220495,225490,219999,224945,228900,234950,239720,239632.5,225000,225000,220000,217445,216480,222490,216735,215000,224400,234900,235000,231990,229900,229990,241990,247445,250000,259990,275000,274900,270799.5,274900,269900,273990,278338,285000,301995,319900,319900,323730,323400,324900,303990,299900,285990,299945,299945,305999,318990,336066,349900,345995,339445,334900,327900,320000,320000,320000,324445,349900,357910.5,357905.5,372000,354900,364950,349900,340445,339900,335000,343995,350853.5,360000,350544,362000,379900,379156,389900,395000,390000,381073,368022,360000,379807,389700
"60614","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499000,1414500,1450000,1364000,1445000,1450000,1425000,1395000,1350000,1325000,1325000,1312000,1312500,1350000,1386450,1470000,1497000,1537000,1550000,1512500,1470000,1325000
"79936","El Paso","TX","El Paso","El Paso",6,186000,198925,198250,189500,197000,193500,192750,202125,216500,228000,221475,219000,200950,193475,182100,181950,174900,188470,179900,179950,170000,179500,170000,174925,166300,170000,179450,179900,174995,169970,168500,169900,177425,184900,189900,189900,189900,185900,187450,182400,193250,193250,187500,190700,184950,185000,189900,190000,184900,189975,182475,189999.5,191500,189999,188975,189000,189000,181000,185000,179700,185000,179900,179900,182900,191500,185000,185000,182000,174950,170900,183950,172000,171900,179925,179500,170000,173500,177000,184700,179915,180500,180000,179950,179000,170000,169950,172500,179900,171999.5,183575,188975,188000,185000,211298
"77084","Houston","TX","Houston","Harris",7,144900,145000,147450,147900,145000,148750,145450,147950,150000,155774,155387,154999.5,155000,149900,149125,145000,145000,145000,145000,145000,139350,134925,134925,134900,134925,133175,135507.5,139675,139900,139927.5,145000,141650,143900,146000,149000,151000,150000,154900,157750,169900,167560,173990,175000,169950,175172,179697.5,171475,169900,170950,175000,169900,174450,184900,179900,169900,179950,185000,186450,190000,187500,179950,185000,189950,189997.5,195990,190000,195990,199900,205000,210000,205000,212497.5,203947.5,212200,220000,224990,224000,219900,218500,215000,219000,224700,216495,217088,215000,215000,214945,212000,215000,215000,218449.5,219450,219000,218435
"77449","Houston","TX","Houston","Harris",8,127000,125000,130000,133129,132999,129900,129900,129900,134000,132000,132915,129945,128990,127000,128995,125000,125000,129900,129900,129000,127500,126072,124999.5,125000,124999,125000,125650,129900,128500,132000,133997.5,137250,134659.5,135000,139000,140135,142135,148995,151997.5,152990,152990,155148,159818.5,162495,165990,168745,170000,171450,172990,173249,172995,174900,174999,175000,175495,177495,181495,180000,179950,187992.5,189999,189999,189950,193920,193850,191450,195000,195000,194350,195975,198997.5,199000,199800,198995,196500,192499.5,194950,199900,199210,197495,195000,194249.5,192700,192500,189900,189995,195000,199990,2e+05,199900,199900,2e+05,199950,202740
"60647","Chicago","IL","Chicago","Cook",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612500,672000,669000,679000,649900,649450,679000,693250,685000,679000,682500,709900,719900,729450,729450,725000,699000,664000,619900,664000
"37013","Nashville","TN","Nashville","Davidson",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219450,241990,247445,266973.5,256495,274900,249971,258495,230900,259950,274124,266495,272057,299000,277990,274900,277990,279900,277990
