"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,5000,4795,4962.5,5195,5500,5450,5200,5337.5,5087.5,5000,5000,5000,4885,4850,5000,5200,5400,5487.5,5300,5650,5600,5125,5000,5150,5625,5700,5550,5450,5325,5000,5400,5000,5295,5397.5,5175,5500,5150,5075,5000,5000,5000,5041,5200,4947.5,4800,4800,4800,4897.5,4950,5150,5000,5000,5075,4947.5,4847.5,4800,4895,5000,4800,5000,5000,5000,5000,5000,5000,4950,5000,5000,5000
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,3300,3150,3062.5,3025,2950,3000,3100,3100,2995,2995,2997,3000,3000,2925,3200,3200,3200,3600,3600,3400,3400,3599.5,3400,3400,3497.5,3200,3200,3250,3500,3400,3200,3025,2900,2995,3000,3095,3195,3095,3500,3600,3600,3300,3200,3047.5,3095,3147.5,3195,3195,3195,3200,3400,3500,3600,3300,3225,3250,3347.5,3400,3400,3300,3275,3350,3585,3600,3800,3600,3400,3372.5,3120
"77494","Cinco Ranch","TX","Houston","Fort Bend",3,,,,,,,,,,,2100,2050,2000,2150,2300,2375,2250,2300,2497.5,2300,2225,2100,2200,2347.5,2300,2372.5,2350,2300,2200,2200,2200,2300,2300,2290,2250,2200,2250,2300,2300,2300,2397.5,2400,2300,2400,2397.5,2350,2300,2300,2350,2350,2375,2400,2400,2400,2400,2350,2300,2350,2282.5,2299,2200,2250,2295,2400,2300,2300,2200,2150,2300,2195,1999.5,2175,2095,2162.5,2100,2200,2200,2200,2200,2250,2300,2400
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,1597.5,1662.5,1650,1600,1650,1650,1750,1722.5,1650,1650,1650,1700,1650,1797.5,1700,1700,1750,1795,1700,1750,1750,1775,1850,1795,1750,1750,1797.5,1750,1795,1795,1795,1750,1750,1750,1725,1750,1750,1795,1825,1800,1800,1850,1800,1800,1800,1800,1825,1800,1850,1845,1895,1900,1895,1850,1895,1885,1875,1895,1850,1812.5,1850,1900,1995,1995,2000,1973,1997.5,1972.5,1950,1950,1900,1900,1995,1995,1995,1966,1900,1995,1990,1900
"77084","Houston","TX","Houston","Harris",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1697.5,1700,1575,1500,1500,1500,1495,1500,1500,1675,1650,1625,1550,1600,1600,1675,1650,1650,1675,1651.5,1650,1625,1650,1725,1672.5,1600,1650,1630,1650,1600,1597.5,1625,1687.5,1595,1600,1625,1650,1612.5,1582.5,1570,1550,1599.5,1600,1550,1649.5,1650,1599,1650,1695,1662.5,1672.5
"77449","Houston","TX","Houston","Harris",6,,,,,,,1300,1300,1350,1350,1325,1312.5,1350,1350,1337.5,1337.5,1350,1300,1350,1350,1350,1395,1400,1400,1477.5,1450,1450,1495,1475,1485,1500,1512.5,1500,1500,1500,1495,1450,1450,1450,1472,1500,1500,1585,1550,1525,1525,1550,1525,1525,1525,1547.5,1550,1550,1532.5,1525,1550,1600,1595,1550,1517,1525,1525,1537.5,1550,1595,1587.5,1600,1550,1525,1497.5,1475,1450,1450,1460,1485,1500,1525,1535,1550,1500,1550,1560
"30349","Riverdale","GA","Atlanta","Clayton",7,,,,,,1200,1257.5,1250,1200,1187.5,1247.5,1200,1200,1200,1200,1200,1200,1175,1200,1200,1150,1100,1112.5,1125,1150,1197.5,1200,1200,1195,1200,1200,1200,1200,1200,1200,1200,1175,1190,1200,1200,1225,1200,1150,1155,1195,1190,1195,1247,1200,1200,1200,1225,1250,1250,1235,1250,1250,1250,1225,1222.5,1250,1250,1285,1297.5,1250,1300,1237.5,1297.5,1285,1295,1299.5,1325,1299.5,1400,1450,1425,1495,1495,1495,1375,1342,1359
"77429","Cypress","TX","Houston","Harris",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.5,1750,1797.5,1800,1810,1950,1947.5,1985,1899.5,1800,1822,1825,1799,1799,1899,1850,1897.5,1912,1987.5,1800,1925,1900,1895,1850,1800,1800,1800,1862.5,1950,1750,1900,1824.5,1857.5,1850,1797.5,1837.5,1850,1800,1800,1845,1830,1850,1800,1797.5
"11206","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3881,3833,3750,3650,3750,3500,3599.5,3600,3595,3500,3399,3400,3600,3962,3816.5,3600,3950,4000,3800,3800,3800,3850,3799,3800,3800,3799,3897.5,3800,3800,3800,3800,3800,3909.5,3990,4100,4100,3800,4100,3600,3895,3999,4125,4100,3799,4200,4092.5,3995,3850,3800,3875,3850,3850
"77479","Sugar Land","TX","Houston","Fort Bend",10,,,,,,,,,,,,,,,,,,,,,,2180,2275,2300,2175,2400,2300,2300,2450,2400,2425,2290,2425,2200,2425,2500,2500,2425,2400,2375,2490,2450,2300,2250,2197.5,2200,2075,2375,2400,2350,2400,2600,2500,2500,2450,2500,2500,2500,2500,2488,2400,2400,2488,2497.5,2500,2425,2350,2450,2500,2475,2300,2230,2200,2200,2272.5,2312.5,2325,2400,2350,2300,2300,2225
