"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","01001","Agawam","MA","Springfield, MA","""Springfield, MA""",,4.90959370346735,75,,5.7575,203600,1.8,7.04521556256572,0.0465225933202358,,0.112504610844707,0.0721311475409836,76.5
"Zip","01002","Amherst","MA","Springfield, MA","""Springfield, MA""",,7.18003261717365,92.31,,,318900,0.662878787878788,3.94393741851369,0.0392787707745375,,0.0600522193211488,0.0507246376811594,93
"Zip","01005","Town of Barre","MA","Worcester, MA","""Worcester, MA-CT""",,0.962915691696802,50,,73.3217,221100,0.683060109289617,2.55102040816327,0.0313975576662144,,0.0795454545454546,0.174603174603175,76
"Zip","01007","Town of Belchertown","MA","Springfield, MA","""Springfield, MA""",,5.60660852300929,100,,,260700,-0.114942528735632,-0.15319800842589,0.0327157652474108,,0.057421875,0.0340136054421769,101.5
"Zip","01008","Blandford","MA","Springfield, MA","""Springfield, MA""",,5.13720485003191,0,,,229200,1.46082337317397,6.70391061452514,0.0431631762652704,,0.0714285714285714,0.166666666666667,83
"Zip","01010","Brimfield","MA","Springfield, MA","""Springfield, MA""",,4.41111820180104,100,,9.6012,250200,0.72463768115942,5.25872949095498,0.0437330135891287,,0.0804597701149425,0.102040816326531,83
"Zip","01011","Chester","MA","Springfield, MA","""Springfield, MA""",,4.55860455222293,100,,,174800,0.575373993095512,3.43195266272189,0.0384038901601831,,0.0875912408759124,0.0833333333333333,83
"Zip","01013","Chicopee","MA","Springfield, MA","""Springfield, MA""",,4.179252641282,100,,5.6505,172900,0.640279394644936,5.23432744978698,0.0405957200694043,,0.113647894469812,0.0982142857142857,86
"Zip","01020","Chicopee","MA","Springfield, MA","""Springfield, MA""",,5.03084450116996,88.89,,4.2796,183300,1.15894039735099,7.00525394045534,0.0387834151663939,,0.0881012658227848,0.0545977011494253,76
"Zip","01022","Chicopee","MA","Springfield, MA","""Springfield, MA""",,1.54506133446784,,,,113300,1.16071428571429,2.3486901535682,0.0349867608120036,,0.202040816326531,0.0808080808080808,76
"Zip","01026","Cummington","MA","Springfield, MA","""Springfield, MA""",,1.5372615755513,,,34.0021,230500,0.787057280279843,-0.774860094705123,0.0148026030368764,,0.0592592592592593,0.125,91
"Zip","01027","Easthampton","MA","Springfield, MA","""Springfield, MA""",,3.35247819612848,100,,7.0512,236700,0.0422654268808115,2.86831812255541,0.0445289395859738,,0.0508226691042048,0.0359712230215827,61
"Zip","01028","East Longmeadow","MA","Springfield, MA","""Springfield, MA""",,7.05310926753173,90,,2.4056,247800,1.30825838103025,5.5366269165247,0.0363034705407588,,0.0698005698005698,0.076530612244898,86
"Zip","01030","Agawam","MA","Springfield, MA","""Springfield, MA""",,5.7824576331277,100,,,236300,0.254560882477726,3.32313073895934,0.0421667371984764,,0.0471945464079706,0.111111111111111,77
"Zip","01033","Town of Granby","MA","Springfield, MA","""Springfield, MA""",,6.61844997518259,100,,,232000,0.302637267617812,2.83687943262411,0.0438232758620689,,0.0577405857740586,0.0579710144927536,91
"Zip","01034","Tolland","MA","Springfield, MA","""Springfield, MA""",,6.81486208608098,100,,392.1569,264000,1.30468150422103,4.47170557973882,0.0376628787878788,,0.0727848101265823,0,83
"Zip","01035","Hadley","MA","Springfield, MA","""Springfield, MA""",,7.69268949868822,100,,,322800,0.404354587869362,3.0322374720715,0.0363630731102851,,0.0494350282485876,0.0285714285714286,91
"Zip","01036","Hampden","MA","Springfield, MA","""Springfield, MA""",,8.26987165851237,100,,,269200,1.50829562594268,6.61386138613861,0.0444687964338781,,0.0482076637824475,0.0769230769230769,83
"Zip","01038","Town of Hatfield","MA","Springfield, MA","""Springfield, MA""",,9.4313266680848,100,,,303700,0.529625951671632,5.85569884977344,0.0411261112940402,,0.0293333333333333,0,91
"Zip","01040","Holyoke","MA","Springfield, MA","""Springfield, MA""",,5.23434730199248,76.47,,3.0549,184100,1.15384615384615,5.80459770114943,0.037343834872352,,0.0978189028420357,0.0844594594594595,91.5
"Zip","01050","Huntington","MA","Springfield, MA","""Springfield, MA""",,5.69949656101539,66.67,,83.9743,221800,0.589569160997732,10.0744416873449,0.0513886384129847,,0.0349206349206349,0.181818181818182,91
"Zip","01053","Northampton","MA","Springfield, MA","""Springfield, MA""",,3.02772459760335,100,,,251000,-0.554675118858954,-0.515259611573524,0.0260398406374502,,0.0526315789473684,0.0909090909090909,90
"Zip","01054","Leverett","MA","Greenfield Town, MA","""Greenfield Town, MA""",,8.01318868325888,100,,,312800,0.192184497117233,3.95480225988701,,,0.0413793103448276,0,107.5
"Zip","01056","Ludlow","MA","Springfield, MA","""Springfield, MA""",,6.95667588456357,100,,,215000,0.844277673545966,4.92923377257199,0.039353488372093,,0.069485414618158,0.0471698113207547,83
"Zip","01057","Monson","MA","Springfield, MA","""Springfield, MA""",,4.53095086151883,50,,,234100,0.774860094705123,6.79744525547445,0.0380777445536096,,0.0821089023336214,0.0736842105263158,83
"Zip","01060","Northampton","MA","Springfield, MA","""Springfield, MA""",,7.24668510246047,100,,,277200,0.0722021660649819,1.09409190371991,0.032012987012987,,0.0679012345679012,0.0113636363636364,91
"Zip","01062","Northampton","MA","Springfield, MA","""Springfield, MA""",,5.45699496561015,75,,,264300,-0.489457831325301,0,0.0417820658342791,,0.0502484815019326,0.021978021978022,90
"Zip","01068","Oakham","MA","Worcester, MA","""Worcester, MA-CT""",,3.81550024817415,50,,,280300,0.25035765379113,7.51822017644802,0.029493399928648,,0.0398860398860399,0.0714285714285714,76
"Zip","01069","Town of Palmer","MA","Springfield, MA","""Springfield, MA""",,5.34070765085443,100,,11.7001,186100,1.91675794085433,8.70327102803738,0.0408651262761957,,0.101027397260274,0.101694915254237,83
"Zip","01071","Russell","MA","Springfield, MA","""Springfield, MA""",,6.16180954406864,,,,226300,0.667259786476868,6.69495520980669,0.038669907202828,,0.072463768115942,0.266666666666667,83
"Zip","01072","Shutesbury","MA","Greenfield Town, MA","""Greenfield Town, MA""",,7.24384882649082,100,,,247000,2.74542429284526,8.19097678493211,,,0.0797101449275362,0.136363636363636,107.5
"Zip","01073","Southampton","MA","Springfield, MA","""Springfield, MA""",,4.14450826065376,50,,6.4102,291600,-0.409836065573771,7.88013318534961,0.0428703703703703,,0.0419642857142857,0.0638297872340425,91
"Zip","01075","South Hadley","MA","Springfield, MA","""Springfield, MA""",,6.88931433028434,100,,1.8218,217900,0.0459136822773186,2.15658696671355,0.044180816888481,,0.0753787878787879,0.0452261306532663,116.5
"Zip","01077","Southwick","MA","Springfield, MA","""Springfield, MA""",,5.36552506558888,100,,4.8355,240400,0.965980680386392,3.97923875432526,0.0400124792013312,,0.0587058038692462,0.125,83
"Zip","01080","Three Rivers","MA","Springfield, MA","""Springfield, MA""",,3.98993122030774,100,,43.9561,176600,1.1454753722795,10.375,0.0339694224235561,,0.123931623931624,0.103448275862069,83
"Zip","01081","Wales","MA","Springfield, MA","""Springfield, MA""",,9.27320428277671,,,,195800,2.19206680584551,6.35524171645845,0.0438815117466802,,0.0952380952380952,0,83
"Zip","01082","Town of Ware","MA","Springfield, MA","""Springfield, MA""",,2.50159540523293,87.5,,17.5213,195000,1.2987012987013,3.88918486947256,0.0368102564102564,,0.0755589822667695,0.122448979591837,96
"Zip","01083","Town of Warren","MA","Worcester, MA","""Worcester, MA-CT""",,2.03573707721761,100,,14.57,195300,0.411311053984576,3.38803599788248,0.0245878136200717,,0.0578313253012048,0.125,76
"Zip","01085","Westfield","MA","Springfield, MA","""Springfield, MA""",,2.96603559526342,90.48,7.1349,3.9103,225100,0.267260579064588,2.64477884176927,0.0410661928031986,,0.0830518577389231,0.069377990430622,83
"Zip","01089","West Springfield","MA","Springfield, MA","""Springfield, MA""",,6.4879812805786,100,,2.7905,213200,0.756143667296786,3.39476236663434,0.0401782363977485,,0.0895061728395062,0.0655172413793104,84.5
"Zip","01095","Town of Wilbraham","MA","Springfield, MA","""Springfield, MA""",,5.30312699425654,77.78,,4.0561,280300,0.501972032986734,3.54636128555597,0.037160185515519,,0.0657453936348409,0.0700636942675159,100
"Zip","01096","Williamsburg","MA","Springfield, MA","""Springfield, MA""",,6.01645040062398,100,,44.5633,241000,0.458524385160484,0.500417014178482,0.0322033195020748,,0.0445205479452055,0,91
"Zip","01098","Worthington","MA","Springfield, MA","""Springfield, MA""",,5.89023611997447,100,,,241300,1.00460443700293,1.00460443700293,0.0346953999171156,,0.050561797752809,0.222222222222222,91
"Zip","01104","Springfield","MA","Springfield, MA","""Springfield, MA""",,3.38509536977948,100,,6.6337,134800,0.822737471952132,11.1294311624073,0.0573738872403562,,0.166976744186047,0.11142061281337,66
"Zip","01105","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.37488477628873,,,165.7459,114100,2.05724508050089,15.8375634517766,0.0244434706397896,,0.217391304347826,0.166666666666667,71
"Zip","01106","Longmeadow","MA","Springfield, MA","""Springfield, MA""",,3.21420974260796,71.43,,6.3563,331600,1.00517819067926,1.87403993855607,0.0320958986731001,,0.0772342773078337,0.0428571428571429,83
"Zip","01107","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.12174714599731,66.67,,,138800,0.216606498194946,7.26429675425039,0.0416858789625361,,0.161111111111111,0.103448275862069,71
"Zip","01108","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.5861873360278,77.78,,5.6744,147800,1.23287671232877,5.42082738944365,0.0412719891745603,,0.175810473815461,0.0815602836879433,74
"Zip","01109","Springfield","MA","Springfield, MA","""Springfield, MA""",,5.12160533219882,100,,23.0159,131200,1.31274131274131,12.3287671232877,0.0631326219512196,,0.156881164866134,0.146706586826347,93
"Zip","01118","Springfield","MA","Springfield, MA","""Springfield, MA""",,3.59001630858683,100,,3.6798,164500,0.488698839340257,3.78548895899054,0.0405896656534954,,0.136980830670927,0.104956268221574,78
"Zip","01119","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.26143373750266,100,,6.5582,150700,0.600801068090788,1.61834120026972,0.0342667551426676,,0.15056664867782,0.14336917562724,72
"Zip","01128","Springfield","MA","Springfield, MA","""Springfield, MA""",,3.21633694958519,100,,6.3052,178100,0.394588500563698,6.0750446694461,0.0427624929814712,,0.0847750865051903,0.0816326530612245,71
"Zip","01129","Springfield","MA","Springfield, MA","""Springfield, MA""",,0.882081826561724,100,,6.6062,160800,0.311915159076731,1.64348925410872,0.0350559701492537,,0.129969418960245,0.1,71
"Zip","01151","Springfield","MA","Springfield, MA","""Springfield, MA""",,1.50322626391548,66.67,,19.1142,134000,0.600600600600601,9.65630114566285,0.0577611940298508,,0.17039586919105,0.111111111111111,71
"Zip","01201","Pittsfield","MA","Pittsfield, MA","""Pittsfield, MA""",,0.307735942707225,80.95,,5.1865,153900,-0.645577792123951,-0.259235255994815,0.0192852501624432,,0.119552314736307,0.0453900709219858,84
"Zip","01220","Town of Adams","MA","Pittsfield, MA","""Pittsfield, MA""",,1.05084024675601,66.67,,,133900,0.980392156862745,-1.18081180811808,0.0119790888722928,,0.136242208370436,0.0326797385620915,107
"Zip","01223","Becket","MA","Pittsfield, MA","""Pittsfield, MA""",,2.09246259661065,100,,,224600,1.03463787674314,-0.354924578527063,0.00809884238646474,,0.0767326732673267,0.0967741935483871,107
"Zip","01225","Cheshire","MA","Pittsfield, MA","""Pittsfield, MA""",,0.501311777635964,100,,58.4795,193200,-0.103412616339193,1.52390961639517,0.0168530020703934,,0.118320610687023,0.0645161290322581,107
"Zip","01226","Dalton","MA","Pittsfield, MA","""Pittsfield, MA""",,0.973551726582996,,,,179700,0.0556792873051225,0.728699551569507,0.0160712298274903,,0.112244897959184,0.0413223140495868,107
"Zip","01235","Hinsdale","MA","Pittsfield, MA","""Pittsfield, MA""",,1.48691767708998,100,,,205400,0.146270112140419,1.28205128205128,0.0158666017526776,,0.0981481481481481,0.0566037735849057,107
"Zip","01237","Lanesboro","MA","Pittsfield, MA","""Pittsfield, MA""",,2.2101680493512,100,,,214600,-0.139599813866915,3.27237728585178,0.0147297297297297,,0.111617312072893,0.0204081632653061,107
"Zip","01238","Town of Lee","MA","Pittsfield, MA","""Pittsfield, MA""",,2.13642487414025,100,,,228000,0.795755968169761,2.19632451815329,0.0119166666666666,,0.0930599369085174,0.0847457627118644,107
"Zip","01240","Town of Lenox","MA","Pittsfield, MA","""Pittsfield, MA""",,3.27731688293271,83.33,,,322700,1.15987460815047,0.373250388802488,0.00678029129222191,,0.0740103270223752,0.0232558139534884,107
"Zip","01245","Monterey","MA","Pittsfield, MA","""Pittsfield, MA""",,7.88626533361696,,,,445500,-0.313269187737749,10.1087493821058,0.0316812570145903,,0.0714285714285714,0,107
"Zip","01247","North Adams","MA","Pittsfield, MA","""Pittsfield, MA""",,0.57221867687726,50,,,133700,1.7503805175038,1.82787509520183,0.012004487658938,,0.13007614213198,0.0439024390243902,93
"Zip","01253","Otis","MA","Pittsfield, MA","""Pittsfield, MA""",,4.0480748776856,100,,,289700,-0.343997248022016,-1.12627986348123,0.0171487745944081,,0.0208333333333333,0,107
"Zip","01254","Richmond","MA","Pittsfield, MA","""Pittsfield, MA""",,4.44089909948238,100,,,341500,1.697438951757,-2.37278444825615,0.0090571010248901,,0.0944206008583691,0,107
"Zip","01255","Sandisfield","MA","Pittsfield, MA","""Pittsfield, MA""",,0.326171736509962,100,,,259100,-0.61373225930188,-0.384467512495194,0.0111462755692782,,0.0963855421686747,0.25,107
"Zip","01257","Sheffield","MA","Pittsfield, MA","""Pittsfield, MA""",,4.11969084591931,100,,,253300,0.277117973079968,-4.3429003021148,0.000840900118436627,,0.0432098765432099,0,107
"Zip","01262","Stockbridge","MA","Pittsfield, MA","""Pittsfield, MA""",,4.04311139473871,100,,,367100,0.602904905453549,-4.40104166666667,-0.00116589485153906,,0.0666666666666667,0,107
"Zip","01266","West Stockbridge","MA","Pittsfield, MA","""Pittsfield, MA""",,3.46025668297525,75,,,390300,0.30840400925212,0.102590407796871,0.0113348706123495,,0.0460526315789474,0,107
"Zip","01267","Town of Williamstown","MA","Pittsfield, MA","""Pittsfield, MA""",,1.20967170105651,100,,,256800,-0.772797527047913,-5.09977827050998,0.0035358255451714,,0.089242053789731,0.0136986301369863,107
"Zip","01270","Windsor","MA","Pittsfield, MA","""Pittsfield, MA""",,3.18868325888109,,,,202300,-0.393894633185623,2.27502527805865,0.0154967869500742,,0.0684931506849315,0,107
"Zip","01301","Town of Greenfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,1.96270297099908,100,,,170200,0.235571260306243,-1.61849710982659,,,0.0839580209895052,0.0714285714285714,94
"Zip","01330","Ashfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,8.25710841664894,100,,,254900,0.591949486977111,4.3389275480966,,,0.0655737704918033,0,107.5
"Zip","01331","Town of Athol","MA","Worcester, MA","""Worcester, MA-CT""",,3.60774303339715,87.5,,9.4972,156200,0.321130378933847,8.47222222222222,0.0322599231754161,,0.117444717444717,0.175732217573222,110
"Zip","01337","Bernardston","MA","Greenfield Town, MA","""Greenfield Town, MA""",,4.69829114372828,100,,13.8735,212900,1.18821292775665,5.86772749875684,,,0.0712328767123288,0.0769230769230769,107.5
"Zip","01338","Buckland","MA","Greenfield Town, MA","""Greenfield Town, MA""",,7.31688293270935,100,,,223900,1.17487573429733,6.16405879563774,,,0.0405405405405405,0.166666666666667,107.5
"Zip","01339","Charlemont","MA","Greenfield Town, MA","""Greenfield Town, MA""",,6.79500815429341,,,,220700,1.28499311610831,4.49810606060606,,,0.0465116279069767,0.25,107.5
"Zip","01340","Colrain","MA","Greenfield Town, MA","""Greenfield Town, MA""",,9.28313124867049,100,,,200900,0.802809834420472,7.37573490112239,,,0.0575916230366492,0,107.5
"Zip","01341","Conway","MA","Greenfield Town, MA","""Greenfield Town, MA""",,1.50251719492307,100,,,267700,0.112191473448018,-0.778354336545589,,,0.0915750915750916,0.12,107.5
"Zip","01351","Montague","MA","Greenfield Town, MA","""Greenfield Town, MA""",,8.60880663688577,66.67,,,221100,1.00502512562814,7.07021791767554,,,0.0484848484848485,0,107.5
"Zip","01354","Gill","MA","Greenfield Town, MA","""Greenfield Town, MA""",,6.95880309154081,0,,,211700,0.284225485551871,5.48081714000997,,,0.0305676855895196,0,107.5
"Zip","01360","Town of Northfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,3.30000709068992,100,,38.7597,211600,0.0946073793755913,3.62389813907933,,,0.0541176470588235,0.0434782608695652,107.5
"Zip","01364","Town of Orange","MA","Greenfield Town, MA","""Greenfield Town, MA""",,3.55243565198894,100,,13.4594,154200,1.04849279161206,7.90762771168649,,,0.108056872037915,0.175438596491228,107.5
"Zip","01366","Petersham","MA","Worcester, MA","""Worcester, MA-CT""",,3.49996454655038,,,131.5789,283700,0.460339943342776,7.46212121212121,0.0306027493831511,,0.0558659217877095,0.1,76
"Zip","01368","Royalston","MA","Worcester, MA","""Worcester, MA-CT""",,2.60653761611005,,,94.3396,191000,0.315126050420168,6.22914349276974,0.0348481675392671,,0.124423963133641,0.037037037037037,76
"Zip","01370","Shelburne","MA","Greenfield Town, MA","""Greenfield Town, MA""",,6.94320357370772,100,,,238700,0.887573964497041,5.38631346578366,,,0.0276497695852535,0.166666666666667,107.5
"Zip","01373","South Deerfield","MA","Greenfield Town, MA","""Greenfield Town, MA""",,3.01708856271715,66.67,,,260400,0.618238021638331,3.12871287128713,,,0.0791788856304985,0.0555555555555556,107.5
"Zip","01375","Sunderland","MA","Greenfield Town, MA","""Greenfield Town, MA""",,3.05963270226193,100,,,284300,-0.490024501225061,1.79018976011457,,,0.0472222222222222,0.0588235294117647,107.5
"Zip","01376","Turners Falls","MA","Greenfield Town, MA","""Greenfield Town, MA""",,0.920371552152024,100,,,162800,-0.306184935701164,-1.57194679564692,,,0.0888888888888889,0.138888888888889,107.5
"Zip","01420","Fitchburg","MA","Worcester, MA","""Worcester, MA-CT""",,2.29454725944834,100,,10.2298,185300,0.488069414316703,9.58013010053223,0.0370372369131138,,0.152378592666006,0.0959349593495935,69.5
"Zip","01430","Ashburnham","MA","Worcester, MA","""Worcester, MA-CT""",,4.72736297241722,100,,,241000,0.794646591384358,6.59000442282176,0.0291120331950208,,0.0756159728122345,0.157303370786517,76
"Zip","01431","Ashby","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,8.04438771892505,,,,271800,1.07846783190777,13.6762860727729,0.0313649742457689,,0.0697674418604651,0.128205128205128,66
"Zip","01432","Town of Ayer","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,3.27873502091754,33.33,,,291000,0.901525658807212,3.19148936170213,0.0314845360824743,,0.0805084745762712,0.0736842105263158,66
"Zip","01440","Gardner","MA","Worcester, MA","""Worcester, MA-CT""",,2.44912429979437,87.5,,11.4897,175700,0.457404230989137,7.6593137254902,0.0320034149117814,,0.120382442416341,0.11913357400722,81
"Zip","01450","Groton","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,4.63518400340353,88.89,,,455500,0.131897120246208,2.79846535770706,0.0229879253567509,,0.0385259631490787,0.0434782608695652,92
"Zip","01451","Harvard","MA","Worcester, MA","""Worcester, MA-CT""",,2.98659859604339,83.33,,,603900,-0.543478260869565,3.99517823316687,0.0255489319423745,,0.0379596678529063,0.03125,76
"Zip","01452","Hubbardston","MA","Worcester, MA","""Worcester, MA-CT""",,5.56831879741899,100,,14.9725,262800,0.689655172413793,5.71198712791633,0.03058599695586,,0.0694597574421169,0.0158730158730159,76
"Zip","01453","Leominster","MA","Worcester, MA","""Worcester, MA-CT""",,2.33141884705382,80,,5.2854,239900,0.460636515912898,6.62222222222222,0.0328720300125052,,0.0988669590643275,0.0573012939001848,68
"Zip","01460","Littleton","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",,8.01389775225129,100,,,460300,0.217722621380361,7.24603914259087,0.0336541386052573,,0.0350564468211527,0.0338983050847458,66
