"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54642857142857,4.6232642725771,4.57827754532775,4.67978042086002,4.71818181818182,4.59246861924686,4.68462401795735,4.75964125560538,4.85714285714286,4.84591679506934,4.81538461538462,4.74778176974606,4.71818181818182,4.59414225941423,4.6875,4.61875,4.8182757002811,4.80364720515072,4.86192468619247,4.83198649214084,4.78472222222222,4.74289804007928,4.75429761525039,4.695,4.54642857142857,4.59330543933054,4.73924977127173,4.60010143273742,4.54642857142857,4.6230975828111,4.53988095238095,4.7,4.65147921248298,4.66111111111111,4.66111111111111,4.58370098039216,4.71266233766234,4.59035195668225,4.59330543933054,4.63132038312575
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63870967741935,1.6375366568915,1.63787969029184,1.6987194758785,1.76564102564103,1.6375366568915,1.76785714285714,1.75,1.775,1.81261528326746,1.75,1.71464285714286,1.695,1.69472222222222,1.74859550561798,1.73109550561798,1.775,1.77777777777778,1.75,1.8,1.85185185185185,1.85714285714286,1.8,1.8,1.7445652173913,1.65406427221172,1.64313725490196,1.795,1.81309090909091,1.9,1.89473684210526,1.875,1.88452380952381,1.88571428571429,1.85,1.8,1.78571428571429
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17655367231638,5.05548517384978,5.06785355564484,5.12401928734881,4.956,4.956,4.90801393728223,5.00219298245614,4.996875,5.14499532273152,5.26099985110185,5.12752805927863,5.10840402969247,5.12578616352201,5.10034843205575,5.00438596491228,4.93653032440056,4.9687789560383,5.00438596491228,5.06354711758855,5.14385057349418,5.09798298096811,4.94623655913978,4.93653032440056,4.95039100684262,4.59166666666667,4.95454545454545,4.94138344177017,4.90801393728223,4.90801393728223,4.90005960022006,4.89210526315789,4.90801393728223,4.9873395620989,4.94623655913978,5.00438596491228,4.95290264614671,4.90801393728223,4.90801393728223,4.91153573956122,5.11947246164191
"77494","Cinco Ranch","TX","Houston","Fort Bend",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25532011365697,1.22794117647059,1.22093023255814,1.24888093106535,1.41119528619529,1.30569948186528,1.31544041450777,1.30129194289205,1.30971337579618,1.33513149022252,1.27975113277026,1.27058322815463,1.25,1.24615384615385,1.29112662013958,1.24608150470219,1.2532154340836,1.24888093106535,1.28068592057762,1.320518444666,1.3331954295692,1.33000997008973,1.35899465891033,1.33659952821629
"75070","McKinney","TX","Dallas-Fort Worth","Collin",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13269794721408,1.1255230125523,1.13302397525135,1.13577568596689,1.11558666394846,1.12232428503206,1.1547811993517,1.1875,1.1586433531746,1.1875,1.16190476190476,1.18476654846336,1.15933696000299,1.15486725663717,1.13554502369668,1.12750263435195,1.13846153846154,1.14434170387895,1.16106194690265,1.15885916016351,1.16581196581197,1.18203309692671,1.21886633655276,1.16451551421819,1.15896828290193,1.13956378668651,1.14319433516916,1.11235216819974,1.15988909426987,1.17075213675214,1.10372036936973,1.125,1.17616956693005,1.13130417335474,1.12908150948838,1.12739056702868,1.13249594813614,1.13452188006483,1.25079305911619,1.26910656620022,1.2875,1.27031650983747,1.28802828823186,1.30984487145119,1.28632938643703,1.28632938643703
"60614","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.08854166666667,2.08484848484848,2.03072707343807,2.00956559419348,2.08521428571429,1.97926718092567,1.94144736842105,1.9125,1.95811403508772,1.90340909090909,1.995,1.98392857142857,1.8937969924812,1.95652173913043,1.99084764340519,1.90681818181818,1.9,1.985,1.91641716566866,1.79455882352941,2.00060642813827,2.07142857142857,2.03571428571429,1.995,2.03333333333333,1.96353436185133,1.9125,1.999,1.97278911564626,1.92235169491525,2.25,2,2,2,2.0036832412523,2.0446735395189,2.0073664825046,1.91923076923077,1.95121951219512,1.81581632653061,1.95436507936508,1.87647058823529,1.97380952380952,2.05689102564103,2.08079212454212,2.1031746031746,2,2,1.98290598290598,2,1.91458333333333
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06768916876761,1.04636292061753,1.08297589204323,1.07737785250123,1.07362534948742,1.09444418881533,0.977165354330709,1.07362534948742,0.9800796812749,1.06076759061834,1.00241591647912,0.978571428571429,1.04759405200184,1.07097933513028,1.06053240740741,1.07416666666667,1.05059231069477,1.08620944818888,1.1061872909699,1.10916666666667
"60640","Chicago","IL","Chicago","Cook",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38840909090909,1.395,1.4018691588785,1.36363636363636,1.38181818181818,1.29398148148148,1.47368421052632,1.50129533678756,1.48,1.5,1.51176470588235,1.459375,1.45454545454545,1.40909090909091,1.43130885122411,1.45,1.45,1.55050505050505,1.51,1.65,1.6,1.59067357512953,1.42857142857143,1.615,1.41666666666667,1.35,1.36971411554497,1.4775,1.6,1.64705882352941,1.65,1.695,1.68181818181818,1.5937962962963,1.6,1.53181818181818,1.49791666666667
"94109","San Francisco","CA","San Francisco","San Francisco",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98936170212766,4.24242424242424,4.31654676258993,4.27158273381295,4.22727272727273,4.27215500327011,4.3027360988526,4.26096997690531,4.31818181818182,4.32480141218005,4.31654676258993,4.2570034881186,4.27158273381295,4.30947580645161,4.31654676258993,4.36257357750164,4.36151079136691,4.32809838050863,4.36151079136691,4.36363636363636,4.34397163120567,4.44444444444444,4.54090909090909,4.4040404040404,4.34792711285517,4.32480141218005,4.32692307692308,4.43864986237868,4.41860465116279,4.36363636363636,4.36363636363636,4.36363636363636,4.32149161518094,4.4,4.2946370176586,4.27272727272727,4.32480141218005,4.31818181818182,4.3964715536105,4.54136690647482,4.47931832289374,4.36151079136691,4.31654676258993,4.36151079136691,4.35,4.28354814253222,4.24242424242424,4.26298434936261,4.295
"10016","New York","NY","New York","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84512285927029,4.97014925373134,4.87649769585253,4.88202764976959,4.92299687825182,4.88202764976959,4.78354978354978,4.87649769585253,4.87844023548608,4.99545454545455,5.01945525291829,4.98759689922481,4.96221198156682,4.99833333333333,4.95727272727273,4.92173017507724,4.96103896103896,4.93630797293529,4.83664839615001,4.88202764976959,4.93867573842619,4.88202764976959,4.91693359088933,4.84615384615385,4.72662492546213,4.86111111111111,4.88202764976959,4.83660130718954,4.88,4.80953168226256,4.96103896103896,4.96162547130289,4.96103896103896,5.03923278116827,4.97870749565649,5.0179182444785,5.05231037489102,5.03946388682055,4.96221198156682,4.88202764976959
